"id_empresa","sector","ccaa","empleados_2020","facturacion_2020_miles","intensidad_idi","running","elegible","anio","post","deduccion_miles","gasto_idi_miles","empleo"
"E00021","Industria","Cataluna",34,2842.7,0.0326262284302047,-0.0173737715697953,0,2019,0,0,119.370038356338,31
"E00022","Servicios","Madrid",14,1385.3,0.109049394485677,0.0590493944856775,1,2019,0,0,119.308189350016,13
"E00023","Servicios","Galicia",33,1501.9,0.0616394848431184,0.0116394848431184,1,2019,0,0,52.6058202332819,32
"E00024","TIC","Pais Vasco",64,1082.6,0.0411866908896294,-0.00881330911037059,0,2019,0,0,106.417885346372,63
"E00025","Servicios","Pais Vasco",33,4000.3,0.0278011895036643,-0.0221988104963357,0,2019,0,0,67.64467708693,32
"E00026","Servicios","Valencia",319,4081.3,0.0990627175512466,0.0490627175512466,1,2019,0,0,148.669096938114,318
"E00027","TIC","Cataluna",15,2187.7,0.0239512137978919,-0.0260487862021081,0,2019,0,0,105.08361853292,14
"E00028","TIC","Galicia",186,2452.9,0.0441439974323831,-0.00585600256761686,0,2019,0,0,171.526321948197,184
"E00029","TIC","Valencia",64,8240.7,0.0705388565861667,0.0205388565861667,1,2019,0,0,193.779127532292,63
"E00030","Servicios","Galicia",35,1418.4,0.0223532963502184,-0.0276467036497816,0,2019,0,0,120.15972740561,34
"E00031","Servicios","Madrid",14,4747.5,0.0603942510520014,0.0103942510520014,1,2019,0,0,141.522485063643,13
"E00032","Servicios","Galicia",123,3298.4,0.0312292601860163,-0.0187707398139837,0,2019,0,0,152.863278536078,121
"E00033","Industria","Cataluna",76,14048.1,0.0122368530998391,-0.0377631469001609,0,2019,0,0,272.522016401131,75
"E00034","Comercio","Madrid",218,607.9,0.0635126235905424,0.0135126235905424,1,2019,0,0,118.642304968581,217
"E00035","TIC","Galicia",96,13852.2,0.0104244671465746,-0.0395755328534254,0,2019,0,0,292.570437498627,96
"E00036","Industria","Galicia",5,3729.9,0.0594979125328069,0.00949791253280687,1,2019,0,0,145.935193112859,4
"E00037","Servicios","Madrid",13,813.9,0.0126829287035523,-0.0373170712964477,0,2019,0,0,60.1401887614541,12
"E00038","Comercio","Galicia",40,6417.5,0.0444350461694568,-0.00556495383054317,0,2019,0,0,200.185693331353,39
"E00039","TIC","Cataluna",57,7142.9,0.0418407979816752,-0.00815920201832482,0,2019,0,0,189.109242831719,56
"E00040","Servicios","Andalucia",76,3239.9,0.0381422402672539,-0.0118577597327461,0,2019,0,0,121.083576223962,76
"E00041","Industria","Cataluna",19,4423.8,0.0541005829440886,0.00410058294408863,1,2019,0,0,143.812350239069,18
"E00042","Industria","Valencia",200,5671.4,0.0512927026872406,0.00129270268724058,1,2019,0,0,180.196274907668,199
"E00043","Servicios","Madrid",65,1958.8,0.0865620978695592,0.0365620978695591,1,2019,0,0,113.323735136541,64
"E00044","Comercio","Pais Vasco",43,2303.8,0.0447315733566702,-0.00526842664332984,0,2019,0,0,155.135147786445,41
"E00045","Comercio","Madrid",23,2791.9,0.0510917928116629,0.00109179281166295,1,2019,0,0,140.999983819734,21
"E00046","Servicios","Pais Vasco",75,2270.6,0.0337179435106508,-0.0162820564893492,0,2019,0,0,91.7514712774443,74
"E00047","Comercio","Madrid",17,2562.4,0.0699734647963564,0.0199734647963564,1,2019,0,0,101.276015247855,16
"E00048","Servicios","Galicia",125,1725.2,0.00837623004691151,-0.0416237699530885,0,2019,0,0,90.2524489065003,124
"E00049","Comercio","Pais Vasco",45,5373,0.0542349464202627,0.00423494642026266,1,2019,0,0,135.569997803561,44
"E00050","Industria","Andalucia",175,2966.2,0.0901949738565803,0.0401949738565803,1,2019,0,0,173.14543415134,174
"E00051","Servicios","Pais Vasco",22,6248.1,0.035767919758209,-0.014232080241791,0,2019,0,0,178.272905848209,21
"E00052","Comercio","Cataluna",48,4845.1,0.0858425164475017,0.0358425164475017,1,2019,0,0,144.411914463623,46
"E00053","Servicios","Cataluna",251,2597.4,0.0300100772010823,-0.0199899227989177,0,2019,0,0,140.796294633095,249
"E00054","Comercio","Madrid",56,2471,0.103029921076841,0.0530299210768414,1,2019,0,0,124.49429839231,55
"E00055","TIC","Andalucia",55,4170.2,0.0777624291623004,0.0277624291623004,1,2019,0,0,163.547927931875,53
"E00056","Industria","Galicia",30,4213.2,0.0412705352402264,-0.00872946475977356,0,2019,0,0,129.106759585015,30
"E00057","Servicios","Valencia",49,6687.8,0.0404459406147971,-0.00955405938520293,0,2019,0,0,158.080156629873,49
"E00058","Comercio","Madrid",19,2713.3,0.00347907661694354,-0.0465209233830565,0,2019,0,0,122.704944271529,18
"E00059","Industria","Valencia",59,11317.3,0.0385351880170524,-0.0114648119829476,0,2019,0,0,237.893813072764,58
"E00060","Industria","Cataluna",15,5680.7,0.114270128071905,0.0642701280719053,1,2019,0,0,131.175464810191,14
"E00061","Servicios","Madrid",46,2931.9,0.0528547743554718,0.00285477435547177,1,2019,0,0,99.479996805075,45
"E00062","Servicios","Galicia",24,6480.8,0.00266147000500036,-0.0473385299949996,0,2019,0,0,172.245136551139,24
"E00063","Comercio","Valencia",122,1350.6,0.0882495815710343,0.0382495815710343,1,2019,0,0,109.012584397111,121
"E00064","Industria","Madrid",43,5672.2,0.00321400310283327,-0.0467859968971667,0,2019,0,0,158.317483982612,41
"E00065","Industria","Galicia",49,44246.3,0.00819886876867565,-0.0418011312313244,0,2019,0,0,655.975602648659,47
"E00066","Servicios","Galicia",57,3695.1,0.0696943324718428,0.0196943324718428,1,2019,0,0,94.4551346795276,56
"E00067","TIC","Cataluna",21,3460.7,0.0570841982680465,0.00708419826804647,1,2019,0,0,127.02389574696,20
"E00068","Industria","Andalucia",22,2084.5,0.083975708818514,0.033975708818514,1,2019,0,0,80.1035459960625,21
"E00069","TIC","Cataluna",129,3713.8,0.0360899569526754,-0.0139100430473246,0,2019,0,0,156.264258761826,128
"E00070","Comercio","Madrid",44,9249.7,0.0792679270985681,0.0292679270985681,1,2019,0,0,180.732755787246,43
"E00071","Servicios","Andalucia",29,525.7,0.0401920462916985,-0.0098079537083015,0,2019,0,0,86.2897690786168,28
"E00072","Servicios","Galicia",19,2968.2,0.0420613947835365,-0.00793860521646347,0,2019,0,0,97.8030080079746,17
"E00073","Industria","Valencia",125,363.3,0.0246053974730686,-0.0253946025269314,0,2019,0,0,111.613224501969,124
"E00074","Comercio","Cataluna",23,3552.1,0.00870942611010661,-0.0412905738898934,0,2019,0,0,159.237301925191,21
"E00075","Servicios","Cataluna",206,1538.9,0.0665218357708987,0.0165218357708987,1,2019,0,0,117.66940433235,205
"E00076","Industria","Madrid",69,1749.7,0.0876215426200323,0.0376215426200323,1,2019,0,0,133.435857327167,68
"E00077","Industria","Cataluna",121,4343.8,0.0456136336789204,-0.00438636632107955,0,2019,0,0,179.754560634279,121
"E00078","TIC","Galicia",42,1130.1,0.0233784095933656,-0.0266215904066344,0,2019,0,0,135.805626855855,41
"E00079","Servicios","Andalucia",55,17632.5,0,-0.05,0,2019,0,0,283.453168551911,54
"E00080","Comercio","Cataluna",40,6518.9,0.0388679835455209,-0.0111320164544791,0,2019,0,0,195.556440851302,39
"E00081","Servicios","Pais Vasco",128,15039.4,0.0395141604101995,-0.0104858395898005,0,2019,0,0,285.474903864966,127
"E00082","TIC","Valencia",35,19427.4,0.0846446352533391,0.0346446352533391,1,2019,0,0,359.59198545034,34
"E00083","Comercio","Valencia",55,2648.8,0.0197326026461777,-0.0302673973538223,0,2019,0,0,114.743787966026,54
"E00084","Servicios","Galicia",42,2866.7,0.0320589929354534,-0.0179410070645466,0,2019,0,0,138.454013253496,41
"E00085","Servicios","Valencia",38,2436.3,0.0495442876521408,-0.000455712347859169,0,2019,0,0,131.522488658805,37
"E00086","Servicios","Cataluna",212,7475.1,0.0305936045293163,-0.0194063954706837,0,2019,0,0,223.203021858134,211
"E00087","Servicios","Cataluna",15,1607.3,0.0594451396698733,0.00944513966987333,1,2019,0,0,159.214428169679,15
"E00088","TIC","Cataluna",99,4121.2,0,-0.05,0,2019,0,0,131.139403732817,98
"E00089","Servicios","Madrid",54,5733.5,0.0844810841663242,0.0344810841663242,1,2019,0,0,128.614442708062,53
"E00090","Servicios","Galicia",90,4778.1,0,-0.05,0,2019,0,0,139.11744543985,90
"E00091","TIC","Valencia",124,758.2,0.062033001699112,0.012033001699112,1,2019,0,0,96.2143939544848,123
"E00092","Servicios","Pais Vasco",58,9221.7,0.0898335043648229,0.0398335043648229,1,2019,0,0,226.546412586536,57
"E00093","Servicios","Valencia",47,2056.5,0.0529149311711114,0.00291493117111143,1,2019,0,0,100.510242501243,46
"E00094","Servicios","Pais Vasco",73,2766,0.0178226121443528,-0.0321773878556472,0,2019,0,0,128.84388262146,71
"E00095","Industria","Valencia",106,3247.3,0.0137652917813559,-0.0362347082186441,0,2019,0,0,156.998197087343,106
"E00096","Servicios","Valencia",207,29367.5,0.117869644231376,0.0678696442313762,1,2019,0,0,487.074179612287,207
"E00097","Industria","Cataluna",50,3962.8,0.0183574523325628,-0.0316425476674372,0,2019,0,0,139.715352318543,47
"E00098","Industria","Pais Vasco",43,3332.5,0.110297263926591,0.060297263926591,1,2019,0,0,133.973451916684,41
"E00099","Industria","Galicia",36,2388,0,-0.05,0,2019,0,0,115.359818272292,34
"E00100","TIC","Cataluna",36,13169,0.0281773219850066,-0.0218226780149934,0,2019,0,0,250.988794462957,35
"E00101","Industria","Pais Vasco",45,734.5,0.0620815488011995,0.0120815488011995,1,2019,0,0,98.4399254489474,43
"E00102","Industria","Andalucia",41,1706.5,0.0790142870452734,0.0290142870452734,1,2019,0,0,138.911749482824,40
"E00103","Servicios","Galicia",25,9092.6,0,-0.05,0,2019,0,0,153.842578978533,24
"E00104","Industria","Galicia",53,1682.3,0.0384494695783435,-0.0115505304216565,0,2019,0,0,80.4860399704444,51
"E00105","Comercio","Cataluna",10,3011,0.0812687503801171,0.0312687503801171,1,2019,0,0,123.702077307935,8
"E00106","Industria","Madrid",30,6294.9,0,-0.05,0,2019,0,0,102.954496092542,28
"E00107","Servicios","Valencia",218,2958.7,0.0370963924547046,-0.0129036075452954,0,2019,0,0,161.858537580813,216
"E00108","Comercio","Pais Vasco",70,4797.9,0.0103143130113681,-0.0396856869886319,0,2019,0,0,180.49715799366,68
"E00109","Comercio","Cataluna",18,1232.6,0.0248534845538862,-0.0251465154461138,0,2019,0,0,130.754689258912,17
"E00110","Industria","Galicia",58,6916.6,0.0938971083504475,0.0438971083504475,1,2019,0,0,167.264826493102,57
"E00111","TIC","Andalucia",28,3438.7,0,-0.05,0,2019,0,0,78.4165888119516,27
"E00112","TIC","Cataluna",14,2195.7,0.0852102963822971,0.0352102963822971,1,2019,0,0,111.021339996824,13
"E00113","Comercio","Andalucia",32,5724.9,0.0655851024819661,0.0155851024819661,1,2019,0,0,162.198801851339,31
"E00114","Comercio","Pais Vasco",83,9260.4,0.0961758796163917,0.0461758796163917,1,2019,0,0,210.496934414908,82
"E00115","Industria","Madrid",48,5145.2,0.0437209528521327,-0.00627904714786726,0,2019,0,0,110.039064808896,47
"E00116","TIC","Cataluna",215,3216.1,0.0565043312555533,0.00650433125555328,1,2019,0,0,149.178796042977,214
"E00117","Comercio","Galicia",29,5823.5,0.0209449073690009,-0.0290550926309991,0,2019,0,0,145.052677213023,28
"E00118","TIC","Pais Vasco",38,4253.3,0.0642705597534189,0.0142705597534189,1,2019,0,0,155.430349337968,36
"E00119","TIC","Cataluna",22,2644.6,0.0244394034169371,-0.0255605965830629,0,2019,0,0,135.35286943877,21
"E00120","TIC","Pais Vasco",17,3416.9,0.0682792271676971,0.0182792271676971,1,2019,0,0,94.5167086658331,16
"E00121","Industria","Pais Vasco",28,2771,0.0976065886904739,0.0476065886904739,1,2019,0,0,142.106517442501,27
"E00122","Comercio","Madrid",122,5545.2,0.0530131458298303,0.00301314582983032,1,2019,0,0,166.814614156803,121
"E00123","Industria","Galicia",75,1955.9,0.0260247349121554,-0.0239752650878446,0,2019,0,0,88.9754607657897,75
"E00124","TIC","Valencia",25,14381.7,0.0533858514856776,0.00338585148567762,1,2019,0,0,299.380697209892,23
"E00125","TIC","Cataluna",33,12639.2,0.0539698768623254,0.00396987686232544,1,2019,0,0,264.78567111534,32
"E00126","Servicios","Andalucia",155,7782.2,0.0367402296416812,-0.0132597703583188,0,2019,0,0,218.42336462529,153
"E00127","Industria","Pais Vasco",50,3906.5,0.0675210285043259,0.0175210285043259,1,2019,0,0,131.474814339183,49
"E00128","Servicios","Madrid",42,2504.4,0,-0.05,0,2019,0,0,106.639947621247,40
"E00129","Industria","Madrid",64,7997.4,0.0321266693787517,-0.0178733306212483,0,2019,0,0,205.48254576315,63
"E00130","Comercio","Galicia",123,7633.6,0.0514633616174928,0.00146336161749275,1,2019,0,0,150.040574113199,121
"E00131","Servicios","Valencia",36,4829.8,0,-0.05,0,2019,0,0,148.831295735913,34
"E00132","TIC","Galicia",15,3784.8,0.109058407658198,0.0590584076581975,1,2019,0,0,123.975485136668,13
"E00133","Servicios","Cataluna",53,11870.8,0.00819973100751212,-0.0418002689924879,0,2019,0,0,214.56660787173,53
"E00134","TIC","Cataluna",7,4352.2,0.0832397639431956,0.0332397639431956,1,2019,0,0,171.442377691883,6
"E00135","TIC","Andalucia",100,3555.2,0.0638354483907061,0.0138354483907061,1,2019,0,0,177.881209401033,99
"E00136","Industria","Valencia",46,45432.5,0.0267599298516882,-0.0232400701483119,0,2019,0,0,624.379833016773,45
"E00137","Comercio","Madrid",164,3836.5,0.0540884266579958,0.00408842665799576,1,2019,0,0,185.122263103997,163
"E00138","Comercio","Madrid",10,10661.4,0.0647769298845343,0.0147769298845343,1,2019,0,0,187.606527268602,9
"E00139","TIC","Cataluna",17,3689.4,0.0896843181036861,0.0396843181036861,1,2019,0,0,183.011877862788,17
"E00140","Industria","Valencia",175,2284.1,0.0558836508290748,0.00588365082907476,1,2019,0,0,131.135868746147,173
"E00141","TIC","Madrid",58,4710.8,0.0393051236935062,-0.0106948763064938,0,2019,0,0,145.946441170483,57
"E00142","Servicios","Pais Vasco",50,4384.5,0.0240151890418252,-0.0259848109581748,0,2019,0,0,146.683847130735,49
"E00143","Industria","Madrid",64,6414,0.0408889523797745,-0.00911104762022548,0,2019,0,0,99.2387829018999,63
"E00144","Servicios","Galicia",49,4243.8,0.013530941795718,-0.036469058204282,0,2019,0,0,114.961209435449,49
"E00145","Industria","Cataluna",75,4527.7,0.0513531254523683,0.00135312545236829,1,2019,0,0,134.922989183208,74
"E00146","Industria","Valencia",373,1127.7,0.0615061955072876,0.0115061955072876,1,2019,0,0,180.939797563698,372
"E00147","Industria","Pais Vasco",25,2652.8,0.0319877570801199,-0.0180122429198801,0,2019,0,0,139.874034630811,24
"E00148","Industria","Valencia",69,3923.6,0.06392187039564,0.01392187039564,1,2019,0,0,126.610222348909,68
"E00149","Industria","Andalucia",79,3615.3,0.0568119964996962,0.00681199649969621,1,2019,0,0,129.205160078717,77
"E00150","Industria","Cataluna",17,3824.9,0.049960045059424,-0.0000399549405760494,0,2019,0,0,173.150466671989,16
"E00151","TIC","Cataluna",35,4818,0.0229515267106201,-0.0270484732893799,0,2019,0,0,209.930114452374,33
"E00152","Servicios","Valencia",57,2329.1,0.0952486257028823,0.0452486257028823,1,2019,0,0,113.82816591612,57
"E00153","Comercio","Galicia",9,2853.2,0.116327216608828,0.066327216608828,1,2019,0,0,92.0951438923193,8
"E00154","Servicios","Valencia",28,2448.5,0.0555613353346854,0.00556133533468538,1,2019,0,0,98.39524379962,28
"E00155","Servicios","Pais Vasco",157,16534.4,0.0944673554652969,0.0444673554652969,1,2019,0,0,341.841249646381,155
"E00156","Servicios","Cataluna",12,5024.9,0.0619463112244795,0.0119463112244795,1,2019,0,0,152.397621788183,11
"E00157","TIC","Andalucia",28,39492.5,0.0570366082977367,0.00703660829773668,1,2019,0,0,583.372995874659,27
"E00158","Comercio","Galicia",76,1299.6,0.0884938972226872,0.0384938972226872,1,2019,0,0,113.37013148491,75
"E00159","Comercio","Andalucia",37,1766.8,0.0895262270694867,0.0395262270694866,1,2019,0,0,74.3782274176734,36
"E00160","TIC","Cataluna",6,5575.4,0.0294760206110133,-0.0205239793889867,0,2019,0,0,166.476588922079,5
"E00161","Industria","Pais Vasco",58,4103.7,0.0811540703680786,0.0311540703680786,1,2019,0,0,141.139748989114,57
"E00162","Industria","Galicia",11,2707.1,0.0296995272510746,-0.0203004727489254,0,2019,0,0,144.433395037613,9
"E00163","Industria","Pais Vasco",21,1524.6,0.0257116498379371,-0.0242883501620629,0,2019,0,0,117.527089628685,20
"E00164","Servicios","Galicia",71,2101.4,0.0492643637149878,-0.000735636285012241,0,2019,0,0,109.021345138515,69
"E00165","Industria","Valencia",48,3977.4,0.0424798523501662,-0.0075201476498338,0,2019,0,0,101.94154423059,46
"E00166","Servicios","Cataluna",77,7004.8,0.0421606588153244,-0.00783934118467561,0,2019,0,0,218.545976990893,75
"E00167","Comercio","Madrid",65,4460.6,0.0230387068426451,-0.026961293157355,0,2019,0,0,152.509081301932,64
"E00168","TIC","Valencia",36,2280.2,0.0406799682484603,-0.00932003175153973,0,2019,0,0,114.224959801297,35
"E00169","Industria","Valencia",31,4297.9,0.0415687542212131,-0.00843124577878687,0,2019,0,0,134.565731167684,30
"E00170","Comercio","Madrid",65,3190.6,0.059117729089905,0.00911772908990497,1,2019,0,0,148.433025546805,65
"E00171","Servicios","Galicia",23,1085.2,0.0120497690914134,-0.0379502309085866,0,2019,0,0,84.2708194569675,22
"E00172","Comercio","Madrid",26,5225.8,0.0649644040847113,0.0149644040847113,1,2019,0,0,130.272700825034,25
"E00173","TIC","Valencia",60,6683.6,0.0243121918497343,-0.0256878081502657,0,2019,0,0,220.168792320453,59
"E00174","Servicios","Valencia",44,23788.8,0.0336961967732414,-0.0163038032267586,0,2019,0,0,376.406514263748,43
"E00175","TIC","Cataluna",89,14538.7,0.0656538060900021,0.0156538060900021,1,2019,0,0,279.167113818063,87
"E00176","Servicios","Pais Vasco",45,5227.1,0.0167278568063522,-0.0332721431936478,0,2019,0,0,166.354133529646,44
"E00177","Comercio","Andalucia",57,8674.1,0.103506109778113,0.0535061097781133,1,2019,0,0,172.86827165267,56
"E00178","Industria","Madrid",55,1074,0.0654360791483899,0.0154360791483899,1,2019,0,0,104.395336561229,54
"E00179","Servicios","Galicia",110,1867.8,0.0274383971397335,-0.0225616028602665,0,2019,0,0,91.4509725582788,108
"E00180","Comercio","Andalucia",51,1781.6,0.0395792175025459,-0.0104207824974541,0,2019,0,0,132.545650587362,49
"E00181","Servicios","Pais Vasco",32,945,0.0522448186366103,0.00224481863661034,1,2019,0,0,128.472541668798,30
"E00182","Industria","Cataluna",283,20163,0.107418486816763,0.0574184868167628,1,2019,0,0,339.869015193407,281
"E00183","Industria","Pais Vasco",71,5168.2,0.0767684258814083,0.0267684258814083,1,2019,0,0,200.711085839094,70
"E00184","Servicios","Galicia",49,3831.6,0.0458895563855039,-0.00411044361449608,0,2019,0,0,169.186805300692,48
"E00185","Servicios","Galicia",8,1444.9,0.00527084704793782,-0.0447291529520622,0,2019,0,0,86.9388576203985,8
"E00186","Servicios","Galicia",18,1729.7,0.112094965546084,0.0620949655460844,1,2019,0,0,120.260449152727,16
"E00187","TIC","Andalucia",29,11503,0.0930297175983439,0.0430297175983439,1,2019,0,0,223.969262848781,27
"E00188","Comercio","Andalucia",85,8190.7,0.00117257342211134,-0.0488274265778887,0,2019,0,0,181.447457470964,83
"E00189","Servicios","Andalucia",21,6120.9,0.0432483992097401,-0.00675160079025994,0,2019,0,0,165.699173496714,19
"E00190","Comercio","Cataluna",41,2671.6,0.0520115701709807,0.00201157017098065,1,2019,0,0,99.2456299254991,39
"E00191","TIC","Madrid",26,3201.7,0.0344868105947543,-0.0155131894052457,0,2019,0,0,130.863315158085,25
"E00192","Industria","Pais Vasco",41,2769.2,0.0360938431054961,-0.0139061568945039,0,2019,0,0,111.570311132349,39
"E00193","Industria","Madrid",26,1776.9,0.0775304236696632,0.0275304236696632,1,2019,0,0,147.620371453991,24
"E00194","TIC","Galicia",38,8390.4,0.117971636821253,0.0679716368212531,1,2019,0,0,198.583786480192,37
"E00195","Servicios","Madrid",31,1412.2,0.0862704415266378,0.0362704415266378,1,2019,0,0,149.382369824053,30
"E00196","Industria","Madrid",21,7531.9,0.00803637193897752,-0.0419636280610225,0,2019,0,0,211.260648241829,19
"E00197","Comercio","Galicia",17,7167,0.0436257693081629,-0.0063742306918371,0,2019,0,0,176.234952030933,15
"E00198","Industria","Pais Vasco",62,5388.1,0.0654310434373913,0.0154310434373913,1,2019,0,0,162.408348764434,62
"E00199","Industria","Andalucia",40,1577.3,0.0870638442023304,0.0370638442023304,1,2019,0,0,87.901275860646,39
"E00200","TIC","Cataluna",78,8491.3,0.0755837872693174,0.0255837872693174,1,2019,0,0,199.93164594622,77
"E00201","TIC","Madrid",276,9500.3,0.0109016501783943,-0.0390983498216057,0,2019,0,0,283.032248375082,275
"E00202","Comercio","Pais Vasco",100,10809.6,0.0784303508267297,0.0284303508267297,1,2019,0,0,209.937396741258,99
"E00203","Comercio","Madrid",39,5407.6,0.103955060739923,0.053955060739923,1,2019,0,0,152.497778308131,38
"E00204","Servicios","Cataluna",126,1736.7,0.0349749926672815,-0.0150250073327185,0,2019,0,0,142.216909098985,125
"E00205","Servicios","Pais Vasco",71,6652.9,0.0459268772616671,-0.00407312273833291,0,2019,0,0,168.205373860108,71
"E00206","Servicios","Pais Vasco",276,1616.3,0.0409932502502431,-0.0090067497497569,0,2019,0,0,151.430233329462,275
"E00207","TIC","Galicia",75,9516.4,0.108665088156697,0.0586650881566975,1,2019,0,0,222.301676566673,73
"E00208","Servicios","Andalucia",182,3879.7,0.0481355130636965,-0.00186448693630349,0,2019,0,0,149.186452203493,182
"E00209","Servicios","Andalucia",26,8012.3,0.0486378582978677,-0.00136214170213228,0,2019,0,0,199.427968964953,26
"E00210","TIC","Galicia",97,2125.8,0.0848290526822087,0.0348290526822087,1,2019,0,0,173.088480007627,96
"E00211","Industria","Madrid",55,1486.4,0.0457170859162298,-0.00428291408377018,0,2019,0,0,123.799660721213,54
"E00212","TIC","Pais Vasco",38,7092.8,0.00152993424811017,-0.0484700657518898,0,2019,0,0,162.015055980052,38
"E00213","Industria","Pais Vasco",167,481,0.0293199987086016,-0.0206800012913984,0,2019,0,0,114.188080404579,166
"E00214","Industria","Valencia",23,3307.3,0.0371224585416159,-0.0128775414583841,0,2019,0,0,96.6457036914891,22
"E00215","Industria","Valencia",9,17018.2,0.0607056845383639,0.0107056845383639,1,2019,0,0,295.50390812292,7
"E00216","Industria","Madrid",94,20595.9,0.0384090178186093,-0.0115909821813907,0,2019,0,0,371.439797836838,93
"E00217","TIC","Valencia",57,3451.3,0.0640695049935894,0.0140695049935894,1,2019,0,0,132.95355446614,55
"E00218","TIC","Madrid",36,19391.5,0,-0.05,0,2019,0,0,363.23374870863,35
"E00219","TIC","Madrid",32,15598.6,0.0219928505127335,-0.0280071494872665,0,2019,0,0,275.961315635371,31
"E00220","Industria","Madrid",227,1775.6,0.0715594217070183,0.0215594217070183,1,2019,0,0,198.691428361906,225
"E00221","TIC","Madrid",14,3411.9,0.0652422670698042,0.0152422670698042,1,2019,0,0,131.930834899702,12
"E00222","TIC","Madrid",82,1001.9,0.0343307241709453,-0.0156692758290547,0,2019,0,0,152.723575127221,81
"E00223","TIC","Madrid",142,39670,0.0199133199139164,-0.0300866800860836,0,2019,0,0,604.922441473349,141
"E00224","Comercio","Galicia",162,2383.1,0.0646477338508104,0.0146477338508104,1,2019,0,0,154.377789919146,161
"E00225","Comercio","Andalucia",74,1149.7,0.0193628714214218,-0.0306371285785782,0,2019,0,0,144.38898918178,73
"E00226","Servicios","Galicia",119,1790.1,0.0330708631139864,-0.0169291368860136,0,2019,0,0,144.339188482075,118
"E00227","Servicios","Pais Vasco",24,3057.3,0.0507327057716352,0.000732705771635152,1,2019,0,0,103.179465124972,23
"E00228","Industria","Pais Vasco",54,5640.7,0.0394185191034698,-0.0105814808965302,0,2019,0,0,153.173797007352,53
"E00229","Industria","Pais Vasco",91,2280.1,0.0322711136354612,-0.0177288863645388,0,2019,0,0,169.959047642738,90
"E00230","Industria","Andalucia",33,1358.1,0.119191163502699,0.0691911635026986,1,2019,0,0,95.3927073195301,32
"E00231","Industria","Galicia",22,948.5,0.06004250797294,0.01004250797294,1,2019,0,0,112.39424767175,20
"E00232","TIC","Andalucia",28,4505.5,0.0593178929461152,0.00931789294611517,1,2019,0,0,159.815922994449,26
"E00233","Industria","Galicia",35,1608,0.0892540318263497,0.0392540318263497,1,2019,0,0,101.996997796526,35
"E00234","Servicios","Valencia",61,3453.4,0.0639389098866602,0.0139389098866602,1,2019,0,0,87.9607445364397,59
"E00235","Servicios","Cataluna",27,2555.7,0.00359467029664925,-0.0464053297033507,0,2019,0,0,127.144807294162,25
"E00236","TIC","Valencia",33,536.3,0.121768340624477,0.0717683406244767,1,2019,0,0,90.7488459385007,32
"E00237","Servicios","Valencia",17,1666.5,0.0684821632604327,0.0184821632604327,1,2019,0,0,101.048444556402,16
"E00238","Industria","Cataluna",30,1746.2,0.037840032161558,-0.012159967838442,0,2019,0,0,101.495287154972,29
