"id_alumno","sexo","rama","nota_acceso","renta_familiar","creditos_matriculados","edad","beca","creditos_superados","continua_segundo"
"A00174","Hombre","Salud",8.98713860858604,17797,60,18,1,60,1
"A00175","Hombre","Ciencias",10.1675487293306,83450,60,19,0,60,0
"A00176","Hombre","Humanidades",9.11725196460922,22426,54,24,1,54,1
"A00177","Hombre","Salud",10.3473937727299,20783,66,20,1,63,1
"A00178","Mujer","Salud",6.67020615131963,20416,48,19,1,48,0
"A00179","Mujer","Ciencias",6.95207049066445,28587,60,20,1,42,1
"A00180","Mujer","Salud",5,16876,66,19,1,47,0
"A00181","Mujer","Sociales",8.32443823354726,8676,60,25,1,60,1
"A00182","Mujer","Sociales",8.81429866527879,14597,48,20,1,48,1
"A00183","Hombre","Humanidades",9.33287270218023,50673,60,18,1,57,0
"A00184","Hombre","Ingenieria",10.0888569760711,18598,48,21,1,48,0
"A00185","Hombre","Ciencias",9.86631513657817,20440,60,19,1,60,1
"A00186","Hombre","Humanidades",9.69191779809322,11449,48,23,1,48,0
"A00187","Hombre","Ingenieria",6.70033949051221,13534,60,21,1,49,0
"A00188","Mujer","Sociales",8.71071287583925,10799,60,18,1,60,1
"A00189","Hombre","Humanidades",9.03208478209555,68138,60,28,0,38,0
"A00190","Hombre","Ciencias",9.95793239837702,41922,60,18,1,60,0
"A00191","Hombre","Humanidades",8.32393669612756,29769,66,19,1,60,1
"A00192","Mujer","Humanidades",9.30006891706836,15525,60,25,1,55,1
"A00193","Hombre","Ciencias",6.18955140768307,9460,60,18,1,43,1
"A00194","Hombre","Humanidades",8.46203429743962,9812,60,18,1,60,1
"A00195","Hombre","Ingenieria",9.49400122096357,27254,60,19,1,54,1
"A00196","Mujer","Sociales",10.7726479332853,36803,60,19,1,55,0
"A00197","Mujer","Sociales",9.27721610504285,18323,60,18,1,60,1
"A00198","Mujer","Sociales",8.13238131586704,34479,48,20,1,48,0
"A00199","Hombre","Salud",5.57018548535058,20689,54,19,0,25,1
"A00200","Mujer","Humanidades",6.49225530146116,34308,66,20,1,42,0
"A00201","Hombre","Ingenieria",6.19339358479785,15614,60,19,1,47,1
"A00202","Mujer","Ciencias",8.97367901313755,14091,66,27,1,61,0
"A00203","Mujer","Sociales",6.8421295194764,16636,60,19,1,60,1
"A00204","Mujer","Sociales",8.69180554878402,54792,60,19,0,52,0
"A00205","Mujer","Ciencias",7.7836906592221,18274,60,19,1,58,1
"A00206","Mujer","Sociales",8.34569055952026,27185,48,21,1,48,1
"A00207","Mujer","Humanidades",7.55970088644147,37258,60,18,0,44,0
"A00208","Mujer","Salud",7.20669184273676,127472,60,18,0,49,0
"A00209","Mujer","Salud",9.902272641948,45061,66,20,0,44,1
"A00210","Mujer","Salud",9.949768887059,18015,60,23,1,60,0
"A00211","Hombre","Salud",6.10487954620476,25638,60,18,1,47,0
"A00212","Hombre","Ingenieria",9.26457755689429,35288,72,19,0,63,0
"A00213","Mujer","Ingenieria",9.57655381052564,13329,60,19,1,56,1
"A00214","Hombre","Ciencias",5.55459898751304,34610,54,28,1,54,0
"A00215","Hombre","Ingenieria",8.91048490666722,16254,66,18,1,56,0
"A00216","Hombre","Salud",7.18045923829398,19182,60,21,1,59,1
"A00217","Mujer","Ciencias",8.1953356519927,55602,60,25,1,51,0
"A00218","Mujer","Ingenieria",8.7461762634453,42692,60,18,1,58,0
"A00219","Mujer","Salud",7.37606231616336,21340,48,20,0,48,0
"A00220","Hombre","Ciencias",7.83602953628579,51937,60,18,0,51,1
"A00221","Mujer","Sociales",7.73330712451656,46955,60,20,0,40,1
"A00222","Mujer","Ingenieria",5,29955,66,19,1,50,1
"A00223","Hombre","Ingenieria",8.96338830946128,20243,60,18,1,52,0
"A00224","Mujer","Sociales",8.40965681931345,18997,60,20,1,60,1
"A00225","Hombre","Ciencias",9.63019640464437,33647,66,21,1,63,0
"A00226","Hombre","Ingenieria",10.3410979997971,31184,66,19,0,43,1
"A00227","Mujer","Humanidades",7.31391594798342,31861,60,20,1,60,0
"A00228","Mujer","Salud",10.4442114974431,21635,72,19,1,64,1
"A00229","Mujer","Ciencias",6.16102535233731,31088,60,19,1,47,0
"A00230","Hombre","Sociales",9.99410583087363,8115,60,18,1,60,1
"A00231","Hombre","Humanidades",8.02412624100045,135507,66,19,0,35,0
"A00232","Hombre","Ingenieria",9.82000876076692,15344,60,19,1,60,1
"A00233","Hombre","Sociales",9.06411463358314,36116,60,18,1,60,0
"A00234","Mujer","Ingenieria",10.3303699381064,10358,60,25,1,54,1
"A00235","Hombre","Salud",9.32577634699129,31802,66,19,1,59,0
"A00236","Mujer","Sociales",9.40426943745556,35978,60,25,1,60,0
"A00237","Hombre","Sociales",9.22121781264948,46539,60,18,1,53,1
"A00238","Mujer","Ingenieria",6.55175676832666,34822,66,18,1,53,1
"A00239","Hombre","Ciencias",8.69690491151677,77450,60,22,0,57,1
"A00240","Hombre","Sociales",8.14449050489576,45847,60,22,0,58,0
"A00241","Hombre","Ingenieria",7.32476577795236,34410,54,22,1,54,0
"A00242","Hombre","Ingenieria",7.73520898665948,14510,54,18,1,54,0
"A00243","Hombre","Sociales",10.0582113444778,28867,60,18,0,58,0
"A00244","Mujer","Ciencias",8.67855559612022,26182,60,19,0,49,0
"A00245","Mujer","Ingenieria",7.50920193510134,32589,60,19,1,52,0
"A00246","Hombre","Ingenieria",5,19683,54,19,1,49,1
"A00247","Mujer","Ingenieria",7.92620500959164,20531,60,21,1,50,1
"A00248","Mujer","Ciencias",9.48202590724909,47431,60,18,1,50,1
"A00249","Mujer","Ingenieria",6.8509443754183,28743,60,24,0,27,0
"A00250","Hombre","Ciencias",8.59263777993329,33925,60,20,1,60,1
"A00251","Hombre","Ingenieria",6.26574635255379,18773,60,23,1,43,1
"A00252","Hombre","Salud",9.21690906758252,37593,60,27,1,60,0
"A00253","Hombre","Ciencias",9.64990691999565,22038,60,18,1,60,1
"A00254","Hombre","Ingenieria",6.6832768198366,22420,60,22,0,53,0
"A00255","Hombre","Salud",8.74662043123518,18803,60,26,0,47,0
"A00256","Hombre","Salud",9.1782699404163,11745,66,18,1,60,1
"A00257","Hombre","Sociales",8.85907430712237,33573,60,18,1,40,1
"A00258","Mujer","Ciencias",5.69728404780173,14730,60,19,1,48,0
"A00259","Hombre","Sociales",9.94663087140798,10108,48,25,1,48,1
"A00260","Hombre","Ciencias",9.13427434480449,75780,60,18,1,60,1
"A00261","Hombre","Ingenieria",6.98822143588683,15576,66,20,1,65,1
"A00262","Hombre","Sociales",11.3107205774855,20228,66,18,1,59,1
"A00263","Mujer","Salud",7.10559645026962,23646,60,19,0,55,0
"A00264","Mujer","Sociales",8.61819741184714,13033,60,23,1,60,0
"A00265","Mujer","Salud",6.34459227739975,31249,66,22,0,36,1
"A00266","Mujer","Ingenieria",10.6024975845478,33825,60,18,1,60,1
"A00267","Mujer","Ingenieria",9.92763324223279,26865,60,20,0,60,0
"A00268","Hombre","Salud",9.97654004762193,9137,60,20,1,60,1
"A00269","Mujer","Salud",6.81946310877202,8197,60,22,1,60,1
"A00270","Hombre","Ciencias",9.96538567367869,15566,72,23,1,71,1
"A00271","Hombre","Sociales",11.003145516351,44600,66,18,1,57,1
"A00272","Mujer","Salud",9.28214090603441,34742,66,26,1,49,1
"A00273","Mujer","Humanidades",9.14302654451405,28688,60,20,1,60,1
"A00274","Mujer","Salud",6.8730510533295,23114,60,18,1,48,0
"A00275","Hombre","Humanidades",9.5028920258549,26000,66,23,1,58,1
"A00276","Hombre","Sociales",9.61139225543527,83872,60,19,0,49,0
"A00277","Mujer","Salud",9.20527461393483,13752,60,20,1,60,1
"A00278","Hombre","Ciencias",8.33842401498804,47340,60,18,0,45,1
"A00279","Mujer","Ciencias",11.2910578007792,15156,60,19,1,60,1
"A00280","Hombre","Humanidades",5.52038188911134,72132,60,18,0,34,0
"A00281","Hombre","Ciencias",6.59852506313732,25425,60,23,0,54,0
"A00282","Hombre","Sociales",8.42989707494592,17758,60,18,1,58,0
"A00283","Mujer","Ingenieria",7.42333363568717,46203,60,18,1,44,0
"A00284","Mujer","Ciencias",10.827808100298,53102,60,19,1,53,1
"A00285","Hombre","Sociales",8.62159473717745,13372,54,18,1,53,1
"A00286","Mujer","Salud",8.14562383658544,21668,48,24,0,37,1
"A00287","Hombre","Sociales",8.54114125899845,16544,60,18,1,60,1
"A00288","Mujer","Humanidades",9.70138116215912,13898,60,18,1,60,1
"A00289","Mujer","Salud",8.10448067261596,17038,54,21,1,54,0
"A00290","Hombre","Humanidades",9.06134593990178,16352,60,21,1,60,1
"A00291","Hombre","Salud",8.49644413885159,20610,60,19,0,57,1
"A00292","Mujer","Humanidades",10.0341290664979,21657,60,20,1,60,0
"A00293","Mujer","Ingenieria",6.92413971500651,50972,60,22,1,55,0
"A00294","Mujer","Ciencias",10.2695884333963,50707,60,27,0,60,1
"A00295","Hombre","Sociales",10.2444619806801,40644,60,23,1,60,0
"A00296","Mujer","Ciencias",9.47230328555269,63700,72,18,0,58,0
"A00297","Mujer","Ingenieria",10.505446087283,36203,60,20,1,60,1
"A00298","Mujer","Ingenieria",8.79048704406173,16971,60,23,1,54,1
"A00299","Hombre","Humanidades",12.4047028716212,24006,48,18,1,48,1
"A00300","Mujer","Humanidades",8.93775903305244,7398,60,18,1,60,1
"A00301","Mujer","Humanidades",7.56937625661681,23857,60,18,1,51,0
"A00302","Hombre","Humanidades",10.5542685491483,51663,60,24,0,60,0
"A00303","Hombre","Ingenieria",11.0833294893636,6619,54,18,1,54,1
"A00304","Hombre","Ciencias",7.65234520942753,26991,54,20,1,54,1
"A00305","Hombre","Ingenieria",7.28381368953354,17535,60,19,1,57,0
"A00306","Mujer","Ingenieria",10.0665245549186,24614,72,25,1,53,0
"A00307","Mujer","Ingenieria",8.88698533128396,10593,60,18,1,60,1
"A00308","Mujer","Humanidades",8.83869574363071,17856,60,23,1,58,0
"A00309","Mujer","Ciencias",7.75325193479039,24518,60,24,1,49,1
"A00310","Mujer","Ingenieria",9.79434555725939,50318,66,19,1,64,1
"A00311","Hombre","Sociales",7.34892461316481,51513,60,19,0,31,1
"A00312","Mujer","Humanidades",11.7938010648441,15109,72,20,1,69,1
"A00313","Mujer","Sociales",7.73232794551295,17586,72,19,1,53,0
"A00314","Hombre","Sociales",7.6422429502387,22097,60,19,1,56,0
"A00315","Mujer","Humanidades",7.3142468692574,21875,72,22,1,42,0
"A00316","Mujer","Salud",8.18887956263614,30179,60,19,1,51,0
"A00317","Mujer","Humanidades",5,30619,60,18,1,36,0
"A00318","Hombre","Salud",9.58537638424687,28498,60,18,1,60,1
"A00319","Hombre","Ciencias",6.83566143594671,88808,60,18,0,39,0
"A00320","Mujer","Salud",9.54836223723602,21354,54,19,1,54,1
"A00321","Hombre","Salud",9.26882387563587,59256,66,27,0,59,1
"A00322","Hombre","Ingenieria",6.80983320494403,11776,60,18,1,60,1
"A00323","Mujer","Salud",9.79199121062252,61763,54,20,0,54,0
"A00324","Mujer","Salud",8.85155716829106,50497,60,19,1,59,1
"A00325","Mujer","Ciencias",6.43386277181081,10962,60,18,1,48,0
"A00326","Hombre","Ingenieria",9.74749318429978,19990,60,18,1,60,0
"A00327","Mujer","Sociales",6.48021881476565,9668,72,19,1,66,1
"A00328","Mujer","Ingenieria",8.1268202931055,28457,60,22,1,60,1
"A00329","Hombre","Ingenieria",10.7963013704139,25397,60,20,1,60,1
"A00330","Hombre","Humanidades",9.14735779870416,34555,60,20,1,59,1
"A00331","Mujer","Ingenieria",8.18845575295845,13592,66,21,1,66,1
"A00332","Mujer","Ingenieria",7.84988921851193,55034,60,18,0,53,0
"A00333","Hombre","Salud",9.44689870051724,46721,60,21,1,60,1
"A00334","Mujer","Salud",8.84516993687069,33251,60,18,1,50,1
"A00335","Mujer","Sociales",7.56684618655951,33529,60,20,1,55,0
"A00336","Hombre","Ingenieria",8.83977631213746,25953,66,18,1,39,0
"A00337","Mujer","Ingenieria",11.1131290619799,32366,72,24,0,53,1
"A00338","Mujer","Salud",7.27386232696987,55534,72,18,0,43,1
"A00339","Hombre","Sociales",8.54920083025647,33682,60,19,0,58,1
"A00340","Mujer","Ciencias",8.18093055871148,71490,60,21,0,40,1
"A00341","Hombre","Sociales",5.52417088630683,35098,54,20,1,53,0
"A00342","Mujer","Salud",5.99366685838099,122892,60,18,0,30,0
"A00343","Hombre","Ciencias",8.00126891697583,13339,60,18,0,52,1
"A00344","Hombre","Ciencias",6.78869839270794,32840,60,24,0,44,1
"A00345","Mujer","Salud",8.82973619083622,17081,54,18,1,54,0
"A00346","Hombre","Ingenieria",10.1736790378176,18099,54,19,1,54,1
"A00347","Mujer","Humanidades",10.3872743716995,20955,60,21,1,60,1
"A00348","Hombre","Ingenieria",5.93373688179765,20222,48,19,0,48,0
"A00349","Mujer","Humanidades",10.3312943394845,12020,72,24,1,56,0
"A00350","Mujer","Salud",9.91904490024654,20639,60,19,1,60,1
"A00351","Hombre","Salud",7.5191859679382,28179,72,18,1,59,1
"A00352","Hombre","Sociales",8.93502404884938,80955,66,18,0,39,0
"A00353","Mujer","Salud",8.97571644264149,19686,54,18,1,54,1
"A00354","Mujer","Humanidades",7.68371071385282,33895,60,21,1,60,0
"A00355","Hombre","Ciencias",7.58059219242882,11391,60,18,1,60,0
"A00356","Hombre","Sociales",7.18425023258962,40750,60,18,1,42,1
"A00357","Mujer","Salud",10.5933392346131,42615,60,18,1,60,0
"A00358","Hombre","Salud",10.1389648737197,26588,54,25,1,54,1
"A00359","Hombre","Salud",7.52089671989087,11884,60,20,1,44,1
"A00360","Mujer","Ciencias",8.38748922749875,22654,60,18,1,53,1
"A00361","Mujer","Ingenieria",9.42595214755535,48512,60,21,0,52,1
"A00362","Mujer","Sociales",11.1490203132005,16440,54,18,1,54,1
"A00363","Mujer","Humanidades",9.63845302680778,12234,48,22,0,48,1
"A00364","Hombre","Sociales",10.5180116410498,34145,54,18,1,47,1
"A00365","Hombre","Ingenieria",9.87695751190413,11224,60,18,1,60,1
"A00366","Mujer","Salud",8.44072213523857,24791,48,19,0,48,1
"A00367","Mujer","Humanidades",8.49309738938682,32094,60,18,0,57,0
"A00368","Mujer","Ciencias",10.3684978444972,40682,60,20,1,54,0
"A00369","Mujer","Salud",7.92798225666072,16410,60,22,1,49,1
"A00370","Mujer","Sociales",9.43426578650388,19116,60,24,1,52,1
"A00371","Mujer","Sociales",7.59185645130757,35423,60,20,1,38,1
"A00372","Hombre","Ingenieria",8.36458739448543,68010,60,20,0,46,0
"A00373","Mujer","Ingenieria",8.95153238168628,24242,66,23,1,46,1
"A00374","Mujer","Salud",9.27689392945667,40219,66,22,1,65,0
"A00375","Mujer","Ingenieria",7.1497187514717,35271,66,19,1,56,1
"A00376","Mujer","Humanidades",6.51440594696741,15309,48,19,1,48,0
"A00377","Hombre","Sociales",9.15308717655699,78092,60,20,0,60,0
"A00378","Mujer","Salud",11.6836899041099,30547,60,19,1,60,1
"A00379","Hombre","Sociales",7.8623653856173,44603,54,19,0,54,1
"A00380","Mujer","Salud",8.68592206148574,14487,60,20,1,59,0
