id_contrato;id_trabajador;sexo;edad_inicio;nivel_educativo;ccaa;sector;tamano_empresa;provincia;contratos_previos_empresa;salario_base_mensual;jornada_parcial
28;178717;Hombre;25;Primaria o secundaria;C. Valenciana;Hostelería;10-49;49;20;975,7;0
29;420836;Hombre;22;Primaria o secundaria;Castilla-La Mancha;Servicios no de mercado;1-9;19;11;940,7;0
30;785212;Hombre;24;Primaria o secundaria;Resto;Industria y construcción;10-49;19;12;1038,9;0
31;302047;Mujer;26;Primaria o secundaria;Castilla y León;Servicios no de mercado;1-9;50;5;952,4;0
32;602152;Mujer;20;Primaria o secundaria;Andalucía;Industria y construcción;1-9;43;14;712,8;0
33;942652;Mujer;22;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;1-9;45;12;861,2;0
34;528723;Mujer;16;FP superior;Cataluña;Servicios alta cualificación y comercio;250+;45;13;838,0;0
35;683269;Hombre;27;Primaria o secundaria;Andalucía;Industria y construcción;1-9;52;10;1026,0;1
36;358968;Hombre;17;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;1-9;3;19;662,5;0
37;619531;Mujer;23;Primaria o secundaria;Madrid;Hostelería;250+;2;6;978,8;0
38;441804;Mujer;25;Postsecundaria;Madrid;Hostelería;10-49;40;14;905,7;1
39;343932;Mujer;19;Primaria o secundaria;Andalucía;Industria y construcción;10-49;13;11;693,7;0
40;777733;Mujer;18;FP superior;Castilla y León;Servicios no de mercado;10-49;12;14;908,0;0
41;582639;Hombre;22;Primaria o secundaria;Cataluña;Industria y construcción;1-9;39;15;938,7;0
42;452112;Mujer;26;Primaria o secundaria;C. Valenciana;Industria y construcción;10-49;43;9;1004,8;0
43;875346;Mujer;26;Primaria o secundaria;Resto;Servicios no de mercado;1-9;29;6;847,1;1
44;498592;Hombre;25;Postsecundaria;Andalucía;Hostelería;10-49;5;17;1110,9;0
45;111859;Hombre;26;Primaria o secundaria;Cataluña;Hostelería;1-9;24;14;843,1;1
46;467460;Hombre;27;Primaria o secundaria;Cataluña;Servicios no de mercado;10-49;49;12;722,4;0
47;138690;Mujer;25;Primaria o secundaria;Castilla y León;Servicios alta cualificación y comercio;1-9;15;22;845,7;0
48;353390;Mujer;17;Primaria o secundaria;Resto;Servicios no de mercado;10-49;25;11;771,6;1
49;121095;Hombre;25;Primaria o secundaria;Cataluña;Servicios no de mercado;1-9;39;14;888,3;0
50;365524;Hombre;27;Primaria o secundaria;Castilla y León;Servicios alta cualificación y comercio;1-9;25;17;1056,0;0
51;305908;Mujer;27;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;1-9;15;12;942,8;0
52;937472;Hombre;22;Primaria o secundaria;Resto;Agricultura;1-9;49;16;744,7;0
53;698443;Hombre;31;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;10-49;49;12;840,8;1
54;281789;Mujer;21;FP superior;País Vasco;Agricultura;250+;23;15;879,6;1
55;366130;Mujer;24;Postsecundaria;Castilla-La Mancha;NA;1-9;39;12;890,5;1
56;916736;Hombre;30;Postsecundaria;Andalucía;Servicios no de mercado;10-49;2;12;958,4;1
57;782277;Hombre;23;FP superior;C. Valenciana;Hostelería;1-9;15;16;920,0;0
58;928529;Hombre;25;Postsecundaria;Galicia;Servicios alta cualificación y comercio;1-9;35;7;755,7;0
59;302705;Mujer;19;Postsecundaria;Resto;Servicios alta cualificación y comercio;50-249;40;11;1009,0;0
60;100275;Hombre;30;Postsecundaria;Castilla y León;Agricultura;1-9;24;11;932,1;1
61;723131;Hombre;23;Postsecundaria;Castilla-La Mancha;Servicios no de mercado;1-9;47;10;825,2;1
62;384193;Hombre;18;Primaria o secundaria;País Vasco;Industria y construcción;1-9;21;15;791,4;0
63;315268;Mujer;28;Primaria o secundaria;Resto;Hostelería;1-9;47;10;964,8;0
64;629184;Mujer;25;Primaria o secundaria;Madrid;Industria y construcción;50-249;39;10;1081,3;1
65;141800;Hombre;22;Postsecundaria;Resto;Industria y construcción;1-9;45;11;1163,6;0
66;562424;Hombre;25;Postsecundaria;Cataluña;Servicios no de mercado;10-49;27;12;922,0;0
67;889611;Hombre;25;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;10-49;37;8;875,1;1
68;266164;Mujer;19;Primaria o secundaria;Galicia;Servicios alta cualificación y comercio;1-9;25;12;687,8;0
69;213963;Hombre;23;Postsecundaria;Galicia;Industria y construcción;10-49;26;10;1030,8;0
70;866583;Hombre;19;Postsecundaria;Andalucía;Hostelería;50-249;11;11;591,5;0
71;626050;Mujer;27;Primaria o secundaria;Madrid;Industria y construcción;1-9;1;13;829,6;0
72;722945;Mujer;26;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;1-9;11;13;842,9;0
73;107393;Hombre;20;Primaria o secundaria;C. Valenciana;Industria y construcción;1-9;22;12;825,6;1
74;780169;Hombre;23;Primaria o secundaria;Galicia;Industria y construcción;50-249;31;15;868,7;0
75;915817;Hombre;23;Primaria o secundaria;C. Valenciana;Hostelería;10-49;31;10;788,4;0
76;892890;Hombre;22;Postsecundaria;Cataluña;Servicios alta cualificación y comercio;50-249;33;11;678,5;0
77;606381;Mujer;26;Primaria o secundaria;Cataluña;Hostelería;50-249;5;6;932,4;1
78;727237;Mujer;20;Primaria o secundaria;Resto;Agricultura;50-249;45;15;647,8;0
79;292683;Mujer;22;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;1-9;36;12;586,3;0
80;855295;Mujer;16;Primaria o secundaria;Andalucía;Servicios no de mercado;50-249;9;10;564,5;1
81;838644;Mujer;23;Postsecundaria;Galicia;Industria y construcción;10-49;22;15;938,9;1
82;206804;Mujer;24;Primaria o secundaria;Andalucía;Agricultura;1-9;2;12;984,4;1
83;313790;Mujer;20;Postsecundaria;Resto;Hostelería;10-49;42;13;759,6;0
84;371521;Hombre;19;Primaria o secundaria;C. Valenciana;Servicios no de mercado;10-49;8;10;859,3;1
85;585701;Hombre;24;Primaria o secundaria;Resto;Industria y construcción;10-49;8;15;1108,0;0
86;618672;Mujer;27;Primaria o secundaria;Madrid;Hostelería;250+;14;11;934,9;1
87;906379;Mujer;27;Primaria o secundaria;Castilla-La Mancha;Industria y construcción;50-249;25;12;892,8;1
88;332759;Mujer;25;Primaria o secundaria;C. Valenciana;Industria y construcción;10-49;40;12;858,3;0
89;309279;Hombre;28;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;1-9;19;9;995,7;0
90;600066;Hombre;23;Primaria o secundaria;Castilla y León;Hostelería;250+;25;12;628,2;1
91;818485;Mujer;26;Primaria o secundaria;Andalucía;Hostelería;10-49;11;13;872,0;0
92;491205;Hombre;25;Postsecundaria;Andalucía;Servicios no de mercado;1-9;48;10;835,7;1
93;137660;Hombre;24;Primaria o secundaria;Galicia;Industria y construcción;1-9;8;11;921,6;1
94;235916;Hombre;20;Postsecundaria;Andalucía;Industria y construcción;50-249;10;14;979,7;0
95;267486;Hombre;30;Primaria o secundaria;Resto;Servicios no de mercado;50-249;7;6;1017,0;0
96;371429;Mujer;19;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;50-249;49;15;723,2;0
97;778098;Mujer;28;FP superior;Castilla-La Mancha;Agricultura;1-9;18;11;1064,7;1
98;738533;Mujer;21;Primaria o secundaria;Resto;Agricultura;50-249;30;7;641,6;0
99;812246;Mujer;24;Primaria o secundaria;Castilla y León;Servicios alta cualificación y comercio;1-9;36;10;1125,3;0
100;239683;Hombre;24;Postsecundaria;Resto;Hostelería;10-49;52;11;779,3;1
101;177599;Hombre;24;Postsecundaria;Cataluña;Hostelería;10-49;34;15;1066,7;0
102;329149;Hombre;22;Primaria o secundaria;Madrid;Hostelería;50-249;29;17;815,2;0
103;278373;Mujer;19;Primaria o secundaria;C. Valenciana;Servicios alta cualificación y comercio;250+;25;11;749,2;0
104;825596;Hombre;24;Primaria o secundaria;Galicia;Industria y construcción;10-49;12;16;928,6;0
105;135428;Mujer;23;Primaria o secundaria;C. Valenciana;Hostelería;1-9;43;14;664,4;1
106;481379;Hombre;20;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;10-49;11;21;767,6;0
107;986133;Hombre;25;Primaria o secundaria;C. Valenciana;Hostelería;10-49;2;15;748,1;0
108;907197;Hombre;25;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;1-9;10;16;882,6;0
109;170513;Hombre;28;Primaria o secundaria;País Vasco;Servicios alta cualificación y comercio;1-9;1;9;826,6;0
110;998033;Hombre;28;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;1-9;9;11;1052,1;1
111;618128;Mujer;31;Postsecundaria;Cataluña;Hostelería;1-9;40;12;1140,3;0
112;797718;Hombre;18;Primaria o secundaria;Galicia;Servicios no de mercado;50-249;13;12;747,7;0
113;728476;Hombre;25;Postsecundaria;Castilla y León;Industria y construcción;10-49;49;11;1150,4;1
114;703270;Mujer;23;Primaria o secundaria;Galicia;Servicios alta cualificación y comercio;50-249;16;15;856,9;0
115;663222;Hombre;17;FP superior;Andalucía;Industria y construcción;10-49;35;12;860,3;0
116;935500;Mujer;25;Primaria o secundaria;Galicia;Agricultura;1-9;37;9;969,0;0
117;590027;Mujer;25;Primaria o secundaria;Galicia;Servicios alta cualificación y comercio;10-49;16;18;892,3;1
118;704733;Hombre;21;Primaria o secundaria;Resto;Industria y construcción;50-249;25;6;770,2;0
119;736103;Hombre;23;Postsecundaria;Andalucía;Hostelería;10-49;3;12;834,6;1
120;691643;Hombre;28;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;50-249;42;11;1057,5;0
121;608679;Mujer;30;Primaria o secundaria;Castilla-La Mancha;Industria y construcción;50-249;39;9;1084,4;1
122;994607;Mujer;18;Primaria o secundaria;Andalucía;Servicios no de mercado;1-9;26;7;658,9;0
123;134995;Mujer;23;FP superior;Cataluña;Hostelería;1-9;29;10;1052,7;0
124;366793;Hombre;30;Primaria o secundaria;C. Valenciana;Servicios no de mercado;10-49;34;7;928,9;0
125;805620;Hombre;18;Postsecundaria;Resto;Servicios alta cualificación y comercio;1-9;49;16;777,5;1
126;157905;Mujer;20;Primaria o secundaria;Cataluña;Servicios no de mercado;1-9;22;8;569,8;0
127;484703;Hombre;25;Primaria o secundaria;Resto;Industria y construcción;1-9;40;12;982,2;0
128;469986;Hombre;19;Primaria o secundaria;Resto;Hostelería;1-9;23;6;681,0;0
129;390594;Hombre;22;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;1-9;43;13;940,7;0
130;853985;Mujer;23;Primaria o secundaria;C. Valenciana;Agricultura;1-9;26;17;749,2;0
131;908907;Hombre;21;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;10-49;15;12;752,9;0
132;696870;Mujer;28;FP superior;Madrid;Servicios alta cualificación y comercio;1-9;43;8;982,8;0
133;904797;Hombre;25;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;1-9;20;9;914,4;0
134;673037;Hombre;26;Primaria o secundaria;Cataluña;Hostelería;1-9;12;15;942,5;0
135;740963;Hombre;26;Primaria o secundaria;Castilla-La Mancha;Hostelería;1-9;11;11;756,7;0
136;285999;Hombre;20;FP superior;Resto;Industria y construcción;1-9;14;10;949,2;1
137;522372;Mujer;24;Postsecundaria;C. Valenciana;Servicios alta cualificación y comercio;1-9;49;12;974,6;0
138;533213;Hombre;20;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;1-9;34;14;794,3;0
139;653300;Mujer;19;Primaria o secundaria;Cataluña;Servicios no de mercado;50-249;21;16;672,9;1
140;489777;Mujer;26;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;10-49;33;13;889,8;0
141;800050;Mujer;21;Primaria o secundaria;Andalucía;Agricultura;1-9;15;11;857,2;0
142;600643;Hombre;22;Primaria o secundaria;Madrid;Industria y construcción;10-49;36;9;851,9;0
143;673356;Hombre;23;Primaria o secundaria;Resto;Industria y construcción;1-9;34;15;920,5;0
144;277206;Mujer;26;Primaria o secundaria;Andalucía;Industria y construcción;10-49;32;15;914,5;0
145;679457;Mujer;25;Primaria o secundaria;Andalucía;Servicios no de mercado;50-249;27;15;959,9;1
146;200991;Hombre;25;FP superior;Cataluña;Agricultura;1-9;5;18;893,6;0
147;860804;Mujer;29;Primaria o secundaria;Madrid;Industria y construcción;1-9;42;13;1122,5;1
148;463445;Hombre;26;Postsecundaria;Castilla-La Mancha;Servicios no de mercado;50-249;19;14;1045,3;0
149;237364;Mujer;16;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;50-249;14;17;608,7;0
150;562747;Mujer;27;Primaria o secundaria;Resto;Servicios no de mercado;10-49;45;12;839,3;1
151;316779;Mujer;24;Postsecundaria;Madrid;Servicios no de mercado;1-9;1;8;870,2;0
152;709081;Mujer;23;Postsecundaria;Cataluña;Hostelería;1-9;14;12;917,6;0
153;361343;Mujer;24;Primaria o secundaria;Castilla y León;Servicios no de mercado;1-9;37;11;795,6;0
154;234135;Mujer;21;Primaria o secundaria;Cataluña;Industria y construcción;10-49;6;9;1012,4;1
155;879677;Mujer;29;Postsecundaria;Resto;Agricultura;1-9;25;13;836,5;0
156;299753;Mujer;26;Primaria o secundaria;Resto;Servicios no de mercado;50-249;9;8;902,2;0
157;673312;Hombre;25;Primaria o secundaria;Madrid;Hostelería;1-9;23;9;931,9;1
158;510509;Mujer;23;Postsecundaria;Cataluña;Hostelería;1-9;14;12;939,8;0
159;372852;Mujer;18;Postsecundaria;Andalucía;Servicios no de mercado;1-9;31;15;695,8;0
160;749509;Mujer;17;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;10-49;33;6;703,2;1
161;656757;Mujer;21;Primaria o secundaria;Resto;Agricultura;50-249;11;13;1042,6;1
162;632930;Hombre;25;Primaria o secundaria;Cataluña;Servicios no de mercado;50-249;41;9;809,0;0
163;171029;Mujer;16;Primaria o secundaria;Cataluña;Servicios no de mercado;1-9;9;7;734,0;0
164;833738;Hombre;21;Postsecundaria;Andalucía;Servicios no de mercado;10-49;25;17;927,3;0
165;276292;Mujer;22;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;250+;30;10;1097,4;1
166;573591;Hombre;23;Primaria o secundaria;C. Valenciana;Hostelería;10-49;47;13;872,1;1
167;199387;Hombre;26;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;1-9;40;17;953,5;1
168;740481;Mujer;22;Primaria o secundaria;C. Valenciana;Servicios no de mercado;10-49;2;8;719,3;0
169;101722;Mujer;28;Primaria o secundaria;Andalucía;Industria y construcción;10-49;49;13;1186,1;1
170;799397;Mujer;28;Primaria o secundaria;Castilla y León;Industria y construcción;1-9;30;5;1149,4;1
171;479752;Hombre;22;Primaria o secundaria;Resto;Hostelería;50-249;33;10;781,1;0
172;101474;Hombre;28;Primaria o secundaria;C. Valenciana;Hostelería;1-9;5;20;972,0;0
173;519942;Hombre;26;Primaria o secundaria;Resto;Industria y construcción;1-9;33;13;855,7;1
174;564461;Mujer;25;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;1-9;7;12;838,7;1
175;784902;Mujer;27;Primaria o secundaria;Galicia;Industria y construcción;10-49;9;15;945,5;0
176;345663;Hombre;21;Postsecundaria;Resto;Servicios no de mercado;250+;32;15;855,7;0
177;733483;Mujer;28;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;10-49;33;9;939,2;0
178;704200;Hombre;23;Postsecundaria;Cataluña;Industria y construcción;1-9;19;13;884,1;1
179;511439;Mujer;24;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;50-249;38;12;864,9;1
180;780968;Hombre;28;Primaria o secundaria;Andalucía;Industria y construcción;10-49;26;8;1031,5;1
181;627740;Hombre;25;Postsecundaria;Andalucía;Servicios alta cualificación y comercio;1-9;28;12;873,5;1
182;193457;Hombre;28;Primaria o secundaria;Resto;Hostelería;50-249;16;15;950,5;1
183;577987;Mujer;27;Postsecundaria;Resto;Industria y construcción;1-9;13;10;860,3;0
184;189310;Hombre;29;Primaria o secundaria;Andalucía;Servicios no de mercado;10-49;11;15;773,8;0
185;675121;Mujer;22;Primaria o secundaria;Resto;Servicios no de mercado;10-49;21;12;793,3;1
186;582030;Mujer;25;Postsecundaria;Resto;Agricultura;10-49;25;10;1054,0;1
187;580128;Hombre;22;Primaria o secundaria;Madrid;Hostelería;1-9;49;11;823,8;0
188;916537;Hombre;24;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;1-9;32;7;830,1;0
189;313894;Hombre;22;Primaria o secundaria;Andalucía;Servicios no de mercado;1-9;47;9;722,2;0
190;119260;Hombre;19;Postsecundaria;Resto;Hostelería;1-9;12;8;927,7;0
191;113433;Hombre;21;Primaria o secundaria;Cataluña;Servicios no de mercado;1-9;52;8;797,8;1
192;928160;Mujer;24;Postsecundaria;Cataluña;Industria y construcción;10-49;22;9;1057,3;0
193;726331;Hombre;19;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;1-9;14;23;870,1;0
194;429126;Mujer;25;Primaria o secundaria;País Vasco;Servicios no de mercado;10-49;20;16;878,2;0
195;986353;Mujer;30;Postsecundaria;Resto;Agricultura;1-9;4;16;932,2;1
196;343161;Hombre;25;Postsecundaria;Madrid;Servicios alta cualificación y comercio;1-9;24;15;905,9;0
197;671097;Mujer;26;Primaria o secundaria;Resto;Hostelería;1-9;39;11;841,9;0
198;745740;Hombre;25;Primaria o secundaria;Resto;Agricultura;50-249;30;7;814,6;0
199;495147;Hombre;25;Primaria o secundaria;Cataluña;Hostelería;50-249;9;10;1051,0;1
200;718350;Mujer;23;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;50-249;44;11;933,0;1
201;636374;Hombre;29;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;10-49;27;11;968,5;0
202;986352;Hombre;25;Postsecundaria;Andalucía;Servicios no de mercado;1-9;4;16;1066,5;0
203;843761;Hombre;23;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;250+;38;14;794,9;0
204;879018;Mujer;22;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;10-49;15;10;646,0;1
205;167834;Mujer;20;Primaria o secundaria;Andalucía;Hostelería;10-49;21;10;664,4;0
206;807468;Mujer;18;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;10-49;50;15;660,6;0
207;330456;Hombre;25;Postsecundaria;Cataluña;Industria y construcción;1-9;14;9;993,7;0
208;194185;Mujer;29;Primaria o secundaria;Castilla y León;Servicios alta cualificación y comercio;1-9;33;13;1068,6;1
209;419250;Hombre;16;Primaria o secundaria;Resto;Industria y construcción;10-49;47;15;665,9;0
210;137800;Mujer;24;Postsecundaria;Castilla y León;Industria y construcción;1-9;46;16;876,3;0
211;802895;Hombre;21;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;1-9;16;16;1094,2;0
212;467169;Hombre;22;Primaria o secundaria;C. Valenciana;Servicios no de mercado;10-49;7;13;797,1;0
213;737485;Hombre;25;Primaria o secundaria;C. Valenciana;Hostelería;10-49;6;12;910,7;0
214;908371;Hombre;22;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;10-49;21;10;903,9;0
215;879607;Hombre;28;Postsecundaria;Resto;Industria y construcción;1-9;13;21;958,1;1
216;897909;Mujer;20;Postsecundaria;Cataluña;Servicios no de mercado;1-9;48;10;652,5;1
217;339973;Mujer;27;Primaria o secundaria;Andalucía;Hostelería;1-9;20;12;913,2;1
218;794079;Mujer;22;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;1-9;11;16;687,5;1
219;723591;Hombre;22;Postsecundaria;Resto;Hostelería;10-49;18;13;895,0;1
220;589195;Hombre;22;Postsecundaria;Castilla y León;Hostelería;10-49;36;5;906,8;0
221;283443;Mujer;18;Primaria o secundaria;Resto;Industria y construcción;1-9;6;7;654,0;0
222;466028;Hombre;23;Primaria o secundaria;Castilla y León;Hostelería;10-49;34;11;669,6;1
223;492882;Mujer;20;Primaria o secundaria;Resto;Hostelería;10-49;52;11;759,5;0
224;610201;Mujer;22;Postsecundaria;Madrid;Hostelería;1-9;3;9;944,4;1
225;214141;Hombre;22;Primaria o secundaria;C. Valenciana;Servicios no de mercado;10-49;1;17;794,6;0
226;903750;Hombre;21;Postsecundaria;Andalucía;Servicios no de mercado;10-49;31;15;958,7;0
227;587285;Mujer;25;Primaria o secundaria;Cataluña;Agricultura;1-9;27;6;1012,2;0
228;574532;Hombre;19;Primaria o secundaria;Madrid;Agricultura;50-249;31;10;908,9;0
229;170168;Hombre;25;Postsecundaria;Resto;Industria y construcción;1-9;21;9;976,9;0
230;307589;Hombre;26;Postsecundaria;Andalucía;Servicios alta cualificación y comercio;50-249;44;7;1008,2;1
231;649558;Hombre;24;Primaria o secundaria;Madrid;Hostelería;1-9;47;3;738,8;0
232;306688;Hombre;27;Postsecundaria;Galicia;Industria y construcción;10-49;25;9;1049,8;1
233;478124;Hombre;33;Primaria o secundaria;Cataluña;Hostelería;10-49;2;12;909,5;0
234;968052;Hombre;29;FP superior;País Vasco;Hostelería;10-49;42;12;1126,7;0
235;708908;Mujer;21;Primaria o secundaria;Madrid;Industria y construcción;10-49;28;14;725,6;0
236;823934;Hombre;30;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;10-49;49;15;994,8;0
237;500391;Hombre;24;Postsecundaria;Castilla-La Mancha;Servicios alta cualificación y comercio;10-49;3;17;841,0;0
238;167969;Mujer;24;Postsecundaria;Resto;Servicios alta cualificación y comercio;1-9;28;11;899,9;1
239;582682;Hombre;31;Postsecundaria;Resto;Servicios no de mercado;10-49;39;15;1076,0;0
240;186326;Hombre;25;FP superior;Resto;Agricultura;10-49;20;5;1138,7;0
241;546435;Mujer;22;Postsecundaria;Andalucía;Servicios alta cualificación y comercio;10-49;45;8;613,1;0
242;912253;Hombre;23;Primaria o secundaria;Resto;Servicios no de mercado;1-9;8;12;625,5;0
243;125382;Hombre;18;FP superior;Cataluña;Industria y construcción;1-9;6;3;796,9;1
244;991138;Hombre;26;FP superior;Castilla-La Mancha;Hostelería;10-49;20;14;1073,9;1
245;429951;Mujer;21;Primaria o secundaria;C. Valenciana;Agricultura;1-9;12;13;915,7;1
246;366068;Hombre;23;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;1-9;42;5;648,2;1
247;564533;Hombre;17;Postsecundaria;Cataluña;Industria y construcción;1-9;32;10;794,9;1
248;918835;Hombre;27;Primaria o secundaria;Castilla-La Mancha;Servicios no de mercado;1-9;37;9;1122,2;0
249;667625;Mujer;21;Primaria o secundaria;Galicia;Servicios alta cualificación y comercio;10-49;30;11;707,9;0
250;438461;Mujer;22;FP superior;Resto;Hostelería;1-9;12;17;956,1;0
251;692898;Hombre;25;Primaria o secundaria;Castilla y León;Hostelería;1-9;31;15;1033,2;1
252;854705;Hombre;32;FP superior;País Vasco;Servicios alta cualificación y comercio;10-49;39;13;1083,6;0
253;511712;Mujer;20;Primaria o secundaria;Madrid;Servicios no de mercado;250+;7;17;777,0;1
254;649928;Mujer;22;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;10-49;27;16;901,3;0
255;104292;Mujer;17;Primaria o secundaria;País Vasco;Servicios no de mercado;1-9;4;11;505,5;0
256;227011;Hombre;21;Primaria o secundaria;Andalucía;Hostelería;1-9;6;15;776,3;0
257;205918;Mujer;28;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;1-9;32;16;714,3;0
258;866742;Hombre;25;Primaria o secundaria;Castilla-La Mancha;Servicios no de mercado;50-249;6;9;686,5;0
259;504593;Mujer;19;Primaria o secundaria;C. Valenciana;Servicios alta cualificación y comercio;50-249;12;13;580,9;1
260;927229;Hombre;20;Primaria o secundaria;Galicia;Hostelería;50-249;37;13;791,5;0
261;222008;Mujer;20;Primaria o secundaria;Cataluña;Servicios no de mercado;1-9;17;18;720,1;0
262;461850;Hombre;28;Postsecundaria;Galicia;Industria y construcción;10-49;24;10;913,4;0
263;205489;Hombre;19;Primaria o secundaria;Madrid;Agricultura;1-9;34;15;704,6;0
264;270351;Hombre;25;Primaria o secundaria;Galicia;Agricultura;50-249;3;6;760,7;0
265;624888;Hombre;22;Postsecundaria;Cataluña;Servicios alta cualificación y comercio;1-9;6;5;823,4;0
266;198987;Mujer;25;Postsecundaria;Castilla-La Mancha;Servicios no de mercado;1-9;7;13;967,6;0
267;668670;Hombre;23;Primaria o secundaria;Galicia;Servicios alta cualificación y comercio;10-49;21;8;877,8;1
268;319611;Mujer;19;Postsecundaria;Castilla y León;Hostelería;10-49;10;10;827,7;1
269;817856;Mujer;23;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;1-9;46;13;914,1;1
270;681824;Hombre;23;Postsecundaria;Cataluña;Servicios no de mercado;1-9;26;6;899,5;0
271;739318;Mujer;26;Primaria o secundaria;Castilla y León;Servicios no de mercado;1-9;29;11;749,1;0
