id_contrato;fecha_inicio;fecha_fin_prevista;duracion_meses;convertido_indefinido;fecha_conversion
136;2009-11-08;2012-11-08;36;0;NA
137;2009-02-17;2010-08-17;18;0;NA
138;2011-11-03;2014-05-03;30;0;NA
139;2011-08-08;2012-08-08;12;0;NA
140;2010-11-13;2013-05-13;30;0;NA
141;2009-03-27;2010-03-27;12;0;NA
142;2011-02-11;2012-08-11;18;0;NA
143;2010-11-30;2011-11-30;12;0;NA
144;2009-02-06;2010-08-06;18;0;NA
145;2010-03-24;2011-03-24;12;0;NA
146;2009-05-06;2012-05-06;36;0;NA
147;2009-06-09;2010-06-09;12;0;NA
148;2009-11-01;2012-05-01;30;0;NA
149;2009-11-07;2010-11-07;12;0;NA
150;2011-12-28;2012-12-28;12;0;NA
151;2011-05-29;2012-05-29;12;0;NA
152;2009-03-05;2010-03-05;12;0;NA
153;2009-08-01;2010-08-01;12;0;NA
154;2010-10-03;2012-10-03;24;0;NA
155;2010-06-16;2013-06-16;36;0;NA
156;2010-08-14;2013-08-14;36;0;NA
157;2011-06-25;2014-06-25;36;0;NA
158;2011-03-29;2012-03-29;12;0;NA
159;2009-01-21;2010-01-21;12;0;NA
160;2010-01-30;2012-01-30;24;0;NA
161;2010-12-03;2013-06-03;30;1;2013-08-29
162;2010-07-10;2012-01-10;18;0;NA
163;2009-08-20;2011-08-20;24;0;NA
164;2010-02-07;2012-02-07;24;0;NA
165;2010-04-11;2011-04-11;12;0;NA
166;2011-08-11;2013-08-11;24;0;NA
167;2011-04-24;2013-04-24;24;0;NA
168;2011-10-25;2013-10-25;24;0;NA
169;2011-01-04;2013-01-04;24;0;NA
170;2011-02-10;2012-02-10;12;0;NA
171;2009-11-02;2011-11-02;24;0;NA
172;2011-08-31;2012-02-29;6;0;NA
173;2010-05-15;2012-05-15;24;0;NA
174;2009-10-23;2011-10-23;24;0;NA
175;2009-10-09;2011-10-09;24;0;NA
176;2009-09-29;2012-09-29;36;0;NA
177;2009-07-04;2010-07-04;12;0;NA
178;2011-10-27;2013-10-27;24;0;NA
179;2011-08-15;2013-08-15;24;0;NA
180;2010-01-30;2013-01-30;36;0;NA
181;2011-08-19;2013-08-19;24;0;NA
182;2009-10-07;2010-04-07;6;0;NA
183;2010-05-13;2011-05-13;12;0;NA
184;2009-08-12;2010-08-12;12;1;2010-09-11
185;2011-04-26;2012-04-26;12;0;NA
186;2011-01-19;2013-01-19;24;0;NA
187;2010-03-15;2011-03-15;12;0;NA
188;2010-02-16;2013-02-16;36;0;NA
189;2011-02-25;2012-08-25;18;0;NA
190;2011-03-19;2013-03-19;24;0;NA
191;2010-04-08;2012-04-08;24;0;NA
192;2010-01-30;2012-01-30;24;1;2012-04-09
193;2011-08-15;2012-08-15;12;0;NA
194;2010-11-18;2013-05-18;30;0;NA
195;2009-04-13;2011-04-13;24;0;NA
196;2010-08-28;2011-02-28;6;0;NA
197;2010-04-14;2012-04-14;24;0;NA
198;2011-08-17;2013-02-17;18;0;NA
199;2010-07-29;2013-01-29;30;0;NA
200;2011-07-24;2014-01-24;30;0;NA
201;2009-04-30;2010-10-30;18;0;NA
202;2010-07-21;2011-01-21;6;0;NA
203;2011-07-27;2013-07-27;24;0;NA
204;2009-12-07;2011-12-07;24;1;2011-12-29
205;2010-11-17;2013-11-17;36;0;NA
206;2009-03-24;2009-09-24;6;0;NA
207;2009-05-05;2010-05-05;12;0;NA
208;2011-09-01;2014-03-01;30;0;NA
209;2010-12-12;2013-12-12;36;0;NA
210;2011-12-20;2013-06-20;18;0;NA
211;2009-12-26;2011-06-26;18;0;NA
212;2009-05-23;2011-05-23;24;0;NA
213;2011-07-07;2012-01-07;6;0;NA
214;2010-11-17;2011-11-17;12;0;NA
215;2009-12-04;2012-12-04;36;0;NA
216;2009-01-28;2012-01-28;36;0;NA
217;2011-12-28;2013-12-28;24;0;NA
218;2009-11-05;2010-11-05;12;0;NA
219;2011-10-06;2012-04-06;6;0;NA
220;2011-12-25;2012-12-25;12;0;NA
221;2010-07-29;2011-07-29;12;0;NA
222;2010-04-14;2013-04-14;36;0;NA
223;2010-11-18;2012-05-18;18;0;NA
224;2009-05-02;2010-11-02;18;0;NA
225;2009-08-02;2011-08-02;24;0;NA
226;2009-02-17;2012-02-17;36;0;NA
227;2011-07-04;2013-01-04;18;0;NA
228;2009-11-07;2012-05-07;30;0;NA
229;2009-06-17;2012-06-17;36;0;NA
230;2009-07-18;2010-01-18;6;1;2010-04-08
231;2011-07-22;2013-07-22;24;0;NA
232;2011-07-04;2014-07-04;36;0;NA
233;2009-06-08;2011-06-08;24;0;NA
234;2011-07-29;2012-01-29;6;0;NA
235;2011-11-28;2014-11-28;36;0;NA
236;2009-12-28;2011-06-28;18;0;NA
237;2010-08-13;2013-02-13;30;0;NA
238;2009-09-23;2011-09-23;24;0;NA
239;2010-09-16;2012-09-16;24;0;NA
240;2010-10-13;2012-10-13;24;0;NA
241;2009-04-24;2010-10-24;18;0;NA
242;2011-07-02;2014-01-02;30;0;NA
243;2009-09-29;2010-09-29;12;1;2010-10-23
244;2010-06-27;2012-12-27;30;0;NA
245;2011-12-25;2013-06-25;18;0;NA
246;2011-04-19;2013-04-19;24;0;NA
247;2009-09-07;2010-09-07;12;0;NA
248;2009-11-19;2011-05-19;18;0;NA
249;2009-02-19;2010-02-19;12;0;NA
250;2010-08-03;2013-08-03;36;0;NA
251;2011-12-18;2013-12-18;24;0;NA
252;2011-09-03;2012-03-03;6;0;NA
253;2009-11-26;2010-11-26;12;0;NA
254;2011-12-13;2013-06-13;18;0;NA
255;2009-04-28;2009-10-28;6;0;NA
256;2009-04-20;2010-04-20;12;0;NA
257;2009-12-12;2010-12-12;12;0;NA
258;2011-06-02;2012-12-02;18;0;NA
259;2010-01-05;2012-01-05;24;0;NA
260;2009-11-05;2010-05-05;6;0;NA
261;2009-06-03;2012-06-03;36;0;NA
262;2010-06-26;2012-06-26;24;0;NA
263;2009-10-26;2011-10-26;24;0;NA
264;2009-04-11;2010-04-11;12;0;NA
265;2011-08-28;2014-08-28;36;0;NA
266;2009-01-25;2010-07-25;18;0;NA
267;2011-05-12;2013-05-12;24;0;NA
268;2009-02-01;2010-02-01;12;0;NA
269;2011-01-08;2012-01-08;12;0;NA
270;2009-01-22;2010-01-22;12;0;NA
271;2009-11-15;2010-05-15;6;0;NA
272;2009-08-09;2011-02-09;18;0;NA
273;2009-09-06;2010-09-06;12;0;NA
274;2009-07-19;2011-07-19;24;1;2011-09-01
275;2009-03-30;2011-03-30;24;0;NA
276;2009-09-03;2011-09-03;24;0;NA
277;2009-10-02;2010-10-02;12;0;NA
278;2011-10-05;2014-10-05;36;0;NA
279;2010-11-06;2012-05-06;18;0;NA
280;2009-07-30;2011-07-30;24;1;2011-09-26
281;2011-11-19;2013-05-19;18;1;2013-08-06
282;2010-12-27;2013-06-27;30;0;NA
283;2009-01-31;2011-01-31;24;0;NA
284;2010-05-06;2011-05-06;12;0;NA
285;2010-09-05;2012-03-05;18;0;NA
286;2011-12-25;2013-12-25;24;0;NA
287;2011-11-28;2012-05-28;6;0;NA
288;2009-08-01;2010-08-01;12;0;NA
289;2011-01-18;2012-01-18;12;0;NA
290;2011-08-28;2013-08-28;24;0;NA
291;2009-11-13;2011-11-13;24;0;NA
292;2010-04-19;2011-04-19;12;0;NA
293;2011-09-03;2012-09-03;12;0;NA
294;2009-12-27;2012-06-27;30;0;NA
295;2010-12-30;2011-12-30;12;0;NA
296;2009-11-02;2010-11-02;12;0;NA
297;2010-03-15;2011-03-15;12;0;NA
298;2011-05-18;2013-05-18;24;0;NA
299;2011-02-22;2014-02-22;36;0;NA
300;2011-04-02;2011-10-02;6;0;NA
301;2011-04-19;2012-04-19;12;1;2012-07-29
302;2010-08-19;2013-08-19;36;0;NA
303;2009-07-02;2012-07-02;36;0;NA
304;2010-09-21;2012-09-21;24;0;NA
305;2010-06-08;2012-06-08;24;0;NA
306;2011-02-03;2011-08-03;6;0;NA
307;2011-05-29;2013-05-29;24;0;NA
308;2011-09-16;2012-09-16;12;0;NA
309;2009-02-15;2010-08-15;18;0;NA
310;2011-09-30;2012-09-30;12;0;NA
311;2010-06-12;2012-06-12;24;0;NA
312;2009-11-15;2010-05-15;6;0;NA
313;2009-02-10;2010-08-10;18;0;NA
314;2009-09-18;2010-03-18;6;0;NA
315;2009-02-17;2010-08-17;18;0;NA
316;2010-08-07;2011-08-07;12;0;NA
317;2010-10-31;2011-04-30;6;0;NA
318;2011-08-20;2013-08-20;24;0;NA
319;2009-10-27;2011-04-27;18;0;NA
320;2010-08-04;2012-08-04;24;0;NA
321;2011-04-28;2014-04-28;36;0;NA
322;2009-02-18;2010-02-18;12;0;NA
323;2011-01-20;2013-07-20;30;0;NA
324;2010-09-27;2013-09-27;36;0;NA
325;2009-06-27;2011-12-27;30;0;NA
326;2011-11-19;2012-11-19;12;0;NA
327;2011-07-07;2013-07-07;24;0;NA
328;2011-11-19;2012-11-19;12;0;NA
329;2009-12-10;2012-12-10;36;0;NA
330;2009-01-08;2010-01-08;12;0;NA
331;2009-12-28;2011-12-28;24;0;NA
332;2009-04-30;2010-10-30;18;0;NA
333;2011-03-24;2013-03-24;24;0;NA
334;2010-03-11;2011-09-11;18;0;NA
335;2011-09-21;2012-09-21;12;0;NA
336;2009-03-15;2011-03-15;24;0;NA
337;2011-10-21;2013-04-21;18;0;NA
338;2009-07-11;2010-07-11;12;0;NA
339;2011-07-27;2014-07-27;36;0;NA
340;2010-07-17;2013-07-17;36;0;NA
341;2009-07-20;2011-01-20;18;0;NA
342;2011-07-07;2013-07-07;24;0;NA
343;2009-12-27;2011-12-27;24;0;NA
344;2009-01-28;2011-01-28;24;0;NA
345;2010-12-23;2013-06-23;30;0;NA
346;2010-10-15;2012-04-15;18;1;2012-05-01
347;2010-01-02;2011-01-02;12;0;NA
348;2010-06-08;2011-12-08;18;0;NA
349;2011-06-15;2013-06-15;24;0;NA
350;2011-12-24;2013-12-24;24;0;NA
351;2010-10-20;2011-10-20;12;0;NA
352;2010-12-07;2012-12-07;24;0;NA
353;2010-06-11;2011-06-11;12;0;NA
354;2009-01-25;2012-01-25;36;0;NA
355;2011-01-25;2013-07-25;30;0;NA
356;2010-06-13;2012-06-13;24;0;NA
357;2010-04-25;2011-04-25;12;0;NA
358;2009-08-27;2010-02-27;6;0;NA
359;2009-08-29;2011-02-28;18;1;2011-03-29
360;2011-08-02;2013-08-02;24;0;NA
361;2010-11-21;2012-11-21;24;1;2013-01-03
362;2009-05-08;2010-11-08;18;0;NA
363;2009-12-14;2011-12-14;24;0;NA
364;2011-10-30;2014-10-30;36;1;2015-01-23
365;2009-07-12;2010-07-12;12;0;NA
366;2010-05-17;2011-05-17;12;0;NA
367;2010-01-19;2011-01-19;12;0;NA
368;2009-11-21;2011-05-21;18;0;NA
369;2009-08-30;2010-08-30;12;1;2010-08-31
370;2009-05-17;2010-11-17;18;0;NA
371;2011-10-06;2013-10-06;24;0;NA
372;2010-12-05;2012-12-05;24;0;NA
373;2011-08-31;2013-08-31;24;0;NA
374;2010-10-23;2012-04-23;18;0;NA
375;2011-08-13;2013-02-13;18;0;NA
376;2011-01-31;2013-01-31;24;0;NA
377;2010-11-07;2011-05-07;6;0;NA
378;2010-11-01;2012-05-01;18;0;NA
379;2011-03-24;2012-03-24;12;0;NA
380;2011-04-14;2012-04-14;12;0;NA
381;2010-03-05;2011-03-05;12;0;NA
382;2011-01-25;2013-01-25;24;0;NA
383;2010-02-12;2011-08-12;18;1;2011-12-01
384;2010-08-10;2013-08-10;36;0;NA
385;2009-03-16;2012-03-16;36;0;NA
386;2009-03-13;2011-03-13;24;0;NA
387;2009-07-13;2011-07-13;24;0;NA
388;2009-05-21;2010-05-21;12;0;NA
389;2010-10-01;2013-04-01;30;0;NA
390;2009-08-20;2010-08-20;12;0;NA
391;2009-07-22;2012-07-22;36;0;NA
392;2011-01-10;2012-07-10;18;0;NA
393;2011-08-12;2012-08-12;12;0;NA
394;2009-04-03;2010-04-03;12;0;NA
395;2010-11-12;2012-11-12;24;0;NA
396;2010-06-09;2010-12-09;6;0;NA
397;2009-09-10;2012-03-10;30;0;NA
398;2010-11-05;2011-11-05;12;0;NA
399;2010-10-15;2013-04-15;30;0;NA
400;2010-06-06;2011-06-06;12;0;NA
401;2010-04-21;2011-10-21;18;0;NA
402;2010-09-08;2012-03-08;18;0;NA
403;2009-05-06;2011-05-06;24;0;NA
404;2011-09-21;2014-09-21;36;0;NA
405;2010-01-17;2012-01-17;24;0;NA
406;2011-04-01;2013-04-01;24;0;NA
407;2011-11-23;2014-11-23;36;0;NA
408;2011-10-15;2013-10-15;24;0;NA
409;2009-09-18;2010-09-18;12;0;NA
410;2009-02-09;2010-08-09;18;0;NA
411;2010-03-20;2012-03-20;24;1;2012-06-30
412;2009-09-15;2012-09-15;36;0;NA
413;2010-07-02;2012-07-02;24;0;NA
414;2011-10-23;2013-04-23;18;0;NA
415;2009-10-24;2010-10-24;12;0;NA
416;2011-08-17;2012-08-17;12;0;NA
417;2011-12-12;2014-12-12;36;0;NA
418;2011-02-10;2013-02-10;24;0;NA
419;2011-10-19;2013-10-19;24;0;NA
420;2009-12-16;2010-06-16;6;0;NA
421;2009-07-22;2010-07-22;12;0;NA
422;2010-05-15;2010-11-15;6;0;NA
423;2009-02-22;2010-02-22;12;0;NA
424;2009-10-20;2010-10-20;12;0;NA
425;2010-11-26;2012-11-26;24;0;NA
426;2009-10-30;2011-04-30;18;0;NA
427;2011-09-04;2012-09-04;12;0;NA
428;2009-05-25;2011-05-25;24;0;NA
429;2011-02-14;2011-08-14;6;0;NA
430;2009-06-23;2010-12-23;18;1;2011-04-06
431;2011-03-21;2012-03-21;12;0;NA
432;2009-08-06;2011-08-06;24;0;NA
433;2011-11-07;2012-11-07;12;0;NA
434;2010-04-22;2011-10-22;18;0;NA
435;2009-02-07;2012-02-07;36;0;NA
436;2011-03-18;2012-03-18;12;0;NA
437;2009-01-05;2011-07-05;30;0;NA
438;2010-05-08;2011-11-08;18;0;NA
439;2011-10-22;2013-10-22;24;0;NA
440;2009-07-17;2011-07-17;24;0;NA
441;2011-10-03;2013-10-03;24;0;NA
442;2010-12-14;2012-06-14;18;0;NA
443;2010-01-31;2012-01-31;24;0;NA
444;2009-01-30;2010-01-30;12;0;NA
445;2010-12-03;2012-12-03;24;0;NA
446;2010-08-25;2012-08-25;24;0;NA
447;2011-09-27;2012-09-27;12;0;NA
448;2010-03-18;2011-09-18;18;0;NA
449;2011-02-09;2012-02-09;12;0;NA
450;2009-11-11;2011-11-11;24;0;NA
451;2009-05-07;2010-11-07;18;0;NA
452;2010-11-27;2011-11-27;12;0;NA
453;2011-12-31;2012-12-31;12;0;NA
454;2010-03-04;2013-03-04;36;0;NA
455;2011-09-17;2013-09-17;24;0;NA
456;2009-10-06;2011-10-06;24;0;NA
457;2009-10-02;2011-10-02;24;0;NA
458;2010-12-01;2012-12-01;24;1;2013-01-02
459;2010-07-31;2011-07-31;12;0;NA
460;2011-07-18;2014-01-18;30;0;NA
461;2010-05-04;2011-05-04;12;0;NA
462;2010-01-11;2011-01-11;12;0;NA
463;2011-11-26;2012-05-26;6;0;NA
464;2011-03-07;2012-03-07;12;0;NA
465;2011-05-30;2011-11-30;6;1;2012-03-23
466;2009-03-22;2010-03-22;12;0;NA
467;2010-03-13;2012-09-13;30;0;NA
468;2010-07-08;2012-07-08;24;0;NA
469;2011-10-07;2013-04-07;18;0;NA
470;2011-08-06;2012-02-06;6;0;NA
471;2010-08-12;2013-02-12;30;0;NA
472;2009-09-21;2011-09-21;24;0;NA
473;2010-11-14;2011-05-14;6;0;NA
474;2011-03-15;2014-03-15;36;0;NA
475;2009-07-19;2011-07-19;24;0;NA
476;2010-11-05;2011-11-05;12;0;NA
477;2009-02-21;2011-08-21;30;0;NA
478;2010-08-28;2012-02-28;18;0;NA
479;2010-03-31;2011-09-30;18;0;NA
480;2010-12-19;2013-12-19;36;0;NA
481;2011-12-12;2012-12-12;12;0;NA
482;2011-01-11;2014-01-11;36;0;NA
483;2009-04-29;2011-04-29;24;0;NA
484;2011-01-23;2012-01-23;12;0;NA
485;2010-08-15;2012-08-15;24;0;NA
486;2009-05-27;2010-11-27;18;0;NA
487;2011-09-06;2012-03-06;6;0;NA
488;2011-09-27;2013-09-27;24;0;NA
489;2010-11-01;2013-05-01;30;0;NA
490;2009-01-20;2010-07-20;18;0;NA
491;2009-02-21;2011-02-21;24;0;NA
492;2009-07-13;2012-07-13;36;0;NA
493;2011-04-09;2014-04-09;36;0;NA
494;2009-11-24;2011-11-24;24;0;NA
495;2009-01-07;2009-07-07;6;0;NA
496;2009-04-30;2010-10-30;18;0;NA
497;2010-10-17;2012-10-17;24;0;NA
498;2010-01-15;2011-07-15;18;0;NA
499;2011-01-14;2013-07-14;30;0;NA
500;2010-01-24;2012-01-24;24;0;NA
501;2011-12-01;2013-12-01;24;0;NA
502;2009-04-29;2011-10-29;30;0;NA
503;2011-09-01;2012-03-01;6;1;2012-06-05
504;2011-10-03;2012-10-03;12;0;NA
505;2010-11-20;2011-05-20;6;0;NA
506;2011-11-10;2013-11-10;24;0;NA
507;2009-05-25;2010-05-25;12;0;NA
508;2009-01-16;2010-07-16;18;1;2010-11-04
509;2011-11-23;2013-11-23;24;0;NA
510;2009-10-02;2010-04-02;6;0;NA
511;2011-11-21;2012-11-21;12;0;NA
512;2011-07-29;2013-07-29;24;0;NA
513;2009-10-27;2011-10-27;24;0;NA
514;2009-04-20;2011-04-20;24;0;NA
515;2011-11-16;2013-11-16;24;0;NA
516;2011-05-31;2012-11-30;18;0;NA
517;2009-11-23;2012-05-23;30;0;NA
518;2009-07-29;2011-01-29;18;0;NA
519;2010-03-13;2012-03-13;24;0;NA
520;2009-04-22;2011-10-22;30;1;2012-01-22
521;2010-07-03;2011-07-03;12;0;NA
522;2010-04-05;2010-10-05;6;0;NA
523;2011-07-28;2014-07-28;36;0;NA
524;2010-03-18;2012-03-18;24;0;NA
525;2009-06-07;2012-06-07;36;0;NA
526;2010-01-30;2011-01-30;12;0;NA
527;2010-02-17;2011-02-17;12;0;NA
528;2010-07-08;2012-07-08;24;0;NA
529;2009-10-02;2011-10-02;24;0;NA
530;2010-11-02;2012-05-02;18;0;NA
531;2009-12-11;2011-12-11;24;0;NA
532;2010-10-09;2013-10-09;36;0;NA
533;2009-05-14;2010-11-14;18;0;NA
534;2011-03-14;2013-03-14;24;0;NA
535;2011-08-01;2014-02-01;30;0;NA
536;2011-07-11;2012-07-11;12;0;NA
537;2009-08-14;2011-02-14;18;0;NA
538;2011-10-13;2013-10-13;24;0;NA
539;2010-11-14;2012-05-14;18;0;NA
540;2010-10-09;2011-04-09;6;0;NA
541;2011-09-01;2013-03-01;18;0;NA
542;2011-10-07;2012-10-07;12;0;NA
543;2011-07-05;2012-01-05;6;0;NA
544;2011-10-17;2013-10-17;24;0;NA
545;2011-11-22;2013-05-22;18;0;NA
546;2010-04-10;2011-10-10;18;0;NA
547;2011-08-03;2014-02-03;30;0;NA
548;2009-08-03;2011-08-03;24;0;NA
549;2011-10-01;2014-04-01;30;1;2014-07-16
550;2010-12-23;2011-06-23;6;0;NA
551;2011-10-14;2013-04-14;18;0;NA
552;2010-08-19;2012-08-19;24;1;2012-10-18
553;2009-04-18;2011-04-18;24;0;NA
554;2011-07-16;2012-07-16;12;1;2012-10-12
555;2009-07-15;2010-01-15;6;1;2010-02-22
556;2010-01-01;2012-01-01;24;1;2012-01-28
557;2009-03-02;2012-03-02;36;0;NA
558;2009-07-07;2011-07-07;24;0;NA
559;2011-08-19;2013-08-19;24;0;NA
560;2010-12-13;2012-06-13;18;0;NA
561;2010-06-07;2012-12-07;30;0;NA
562;2011-02-28;2013-02-28;24;0;NA
563;2009-05-10;2011-05-10;24;0;NA
564;2011-08-25;2013-02-25;18;0;NA
565;2011-12-07;2013-12-07;24;0;NA
566;2010-03-03;2012-03-03;24;0;NA
567;2010-01-10;2011-07-10;18;0;NA
568;2010-10-18;2011-10-18;12;0;NA
569;2010-04-13;2011-10-13;18;1;2011-12-09
570;2010-05-20;2013-05-20;36;0;NA
571;2010-07-13;2012-01-13;18;0;NA
572;2010-08-28;2012-02-28;18;0;NA
573;2009-12-26;2011-06-26;18;0;NA
574;2011-11-27;2014-05-27;30;0;NA
575;2009-01-08;2010-01-08;12;0;NA
576;2009-12-24;2010-06-24;6;0;NA
577;2010-04-11;2012-04-11;24;0;NA
578;2010-12-08;2013-12-08;36;0;NA
579;2010-06-20;2011-06-20;12;0;NA
580;2009-10-16;2011-10-16;24;0;NA
581;2011-11-19;2013-11-19;24;0;NA
582;2010-09-17;2012-03-17;18;0;NA
583;2010-02-13;2012-02-13;24;0;NA
584;2010-08-19;2012-08-19;24;0;NA
585;2011-01-04;2012-01-04;12;0;NA
586;2011-10-05;2013-04-05;18;0;NA
587;2010-12-23;2013-12-23;36;0;NA
588;2010-09-18;2013-09-18;36;0;NA
589;2010-01-21;2011-07-21;18;0;NA
590;2011-02-19;2014-02-19;36;0;NA
591;2011-02-28;2012-08-28;18;0;NA
592;2010-09-14;2011-09-14;12;0;NA
593;2009-04-08;2011-10-08;30;0;NA
594;2009-12-16;2010-12-16;12;0;NA
595;2009-07-03;2011-01-03;18;0;NA
596;2009-05-20;2010-05-20;12;0;NA
597;2010-08-10;2011-08-10;12;0;NA
598;2009-06-02;2010-06-02;12;0;NA
